Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
9/24/2015,382.75,384,379.25,382,1.75,381.5,93318,744856
9/23/2015,379.5,384.5,379,383,2.75,383.25,88046,742718
9/22/2015,384,384.5,377.25,380,4,380.5,113398,741798
9/21/2015,376.5,385.5,375,384.5,7.25,384.5,138157,734466
9/18/2015,380,382.5,376.5,377.25,2.5,377.25,113972,730920
9/17/2015,385.25,385.5,379.25,380.5,6.25,379.75,89428,734898
9/16/2015,390,391,383,385.5,4.5,386,124073,744460
9/15/2015,392.75,395,388.75,390.5,3,390.5,127023,744535
9/14/2015,387,394,386.25,393,6.5,393.5,179626,755065
9/11/2015,374,387.5,364.5,387,12.75,387,291726,764709
9/10/2015,368.75,374.75,366.75,374,5.25,374.25,131271,759367
9/9/2015,367.5,372.5,366,368.5,0.75,369,137640,758327
9/8/2015,364.75,368.5,364,368.25,5.25,368.25,119124,760629
9/4/2015,361.75,364.75,360.5,362.5,1.5,3630,101487,761295
9/3/2015,367.25,368,361.25,361.5,6,361.5,160695,763799
9/2/2015,369,371.5,364.25,367.25,1.5,367.5,177613,763314
9/1/2015,374.5,374.5,367.5,368.25,6.25,369,148934,753344
8/31/2015,373.5,377,370.5,375.25,0.25,375.25,145008,753722
8/28/2015,374.25,380,374,374.25,,375,179337,758192
8/27/2015,374,378.75,371.5,374.5,1.75,375,210682,760048
8/26/2015,376.75,380.5,372.75,373.25,3.75,373.25,137052,758226
8/25/2015,380,386.75,375.25,377.75,3.5,377,182215,761721
8/24/2015,376.75,381.75,365.5,381.5,3.25,380.5,258076,755009
8/21/2015,382,384.25,375.75,377,5.25,377.25,181246,750472
8/20/2015,378.25,383,378.25,382.75,4,382.5,150931,744502
8/19/2015,377.25,383,377,378.5,1.25,378.5,164492,746798
8/18/2015,374.5,379.25,373,377,2.75,377.25,150640,746400
8/17/2015,374.5,379.5,372.5,375,1,374.5,143336,743379
8/14/2015,375.25,377.25,371,375,0.25,375.5,167134,732960
8/13/2015,369,376,366,375.25,7.25,375.25,239077,707171
8/12/2015,387.75,393.5,357.5,369.75,19.5,368,418025,675503
8/11/2015,399.25,399.25,387,388.25,13.5,387.5,205087,661298
8/10/2015,385,402,384.75,401,17.25,401,276157,641045
8/7/2015,380.5,385.75,377.25,384,3.25,383.75,168547,623721
8/6/2015,382.75,385.25,380,380,2.75,380.5,141927,617120
8/5/2015,378.75,384,377.5,383.25,4.5,383.25,166401,605977
8/4/2015,377.75,382.75,376.5,379,2.25,378.75,123244,607654
8/3/2015,380,380.5,374.5,378.75,4.75,376.5,131415,602431
