Thursday,Grain,Pounds,Destination,Field Office,FGIS Reg,MKT YR,Metric Ton,,Grain,(All),,,,,,,,,,,,,,Sum of Metric Ton,Column Labels,,,,,,,,
20150101,SOYBEANS,142197850,CHINA MAIN,OLYMPIA,WEST COAST,1415,64500,,Destination,(All),,,,,,,,,,,,,,Row Labels,BARLEY,CANOLA,CORN,FLAXSEED,OATS,SORGHUM,SOYBEANS,WHEAT,Grand Total
20150101,SOYBEANS,594000,CHINA T,DIOO,INTERIOR,1415,269,,,,,Sum of Metric Ton,Column Labels,,,,,,,,,,,CANADA,,,,,,,17301,,17301
20150108,WHEAT,72778255,JAPAN,PORTLAND,WEST COAST,1415,33012,,Row Labels,Sum of Metric Ton,,Row Labels,BARLEY,CANOLA,CORN,FLAXSEED,OATS,SORGHUM,SOYBEANS,WHEAT,Grand Total,,,EAST COAST,18200,,198997,,,4897,1009612,452921,1684627
20150108,SOYBEANS,108000,THAILAND,TOLEDO,INTERIOR,1415,49,,20150101,64769,,AFGHANISTAN,,,,,,,,40660,40660,,,EAST GULF,,,22898294,,,1355895,13910416,3513228,41677833
20150108,SOYBEANS,432000,THAILAND,TOLEDO,INTERIOR,1415,196,,20150108,2731806,,ALGERIA,,,238853,,,,,76191,315044,,,INTERIOR,29889,,5068951,774,200,51772,2342957,1117983,8612526
20150108,SOYBEANS,540000,THAILAND,TOLEDO,INTERIOR,1415,245,,20150115,2837003,,BANGLADESH,,,98255,,,,378921,,477176,,,LAKES,,20636,462291,,400,,84192,747086,1314605
20150108,SOYBEANS,540000,THAILAND,TOLEDO,INTERIOR,1415,245,,20150122,3075262,,BARBADOS,,,27225,,,,21475,29818,78518,,,WEST COAST,50219,,7059830,3402,,275944,4110633,8236435,19736463
20150108,SOYBEANS,1134000,VIETNAM,TOLEDO,EAST COAST,1415,514,,20150129,2946991,,BELGIUM,,,,,,,,10500,10500,,,WEST GULF,,,528850,,,5312619,199601,2884717,8925787
20150108,SOYBEANS,108000,VIETNAM,DIOO,INTERIOR,1415,49,,20150205,2759324,,BELIZE,,,,,,,,17542,17542,,,Grand Total,98308,20636,36217213,4176,600,7001127,21674712,16952370,81969142
20150108,SOYBEANS,216000,VIETNAM,DIOO,INTERIOR,1415,98,,20150212,2760704,,BRAZIL,,,,241,,,,360484,360725,,,,,,,,,,,,
