,EXPORTS 2014/2015 ,RANK,EXPORTS 2013/2014,RANK,EXPORTS 2012/2013,RANK,EXPORTS 2011/2012,RANK,EXPORTS 2010/2011,RANK
JAPAN,11858.6,1,11487,1,7000.2,1,11748.6,1,14278.9,1
MEXICO,10793.8,2,10526.3,2,4370,2,9537.5,2,7018.6,2
COLOMBIA,4413.3,3,3359.4,4,94.9,17,275.1,16,536.4,14
SOUTH KOREA,3927.2,4,4844.2,3,416.2,6,3635.3,4,6103.7,3
PERU,2421,5,1414.5,8,0,0,0,0,66.3,34
TAIWAN,1755,6,1936.4,7,511.8,5,1265.4,6,2393,5
EGYPT,1487,7,2559.5,6,0,0,544.9,9,3301.9,4
SAUDI ARABIA,1312.7,8,1021,9,344.6,7,294.8,15,571.9,13
GUATMALA,936.7,9,783.9,11,209.2,11,549.1,8,660.6,12
CANADA,866.8,10,152.9,24,112.7,15,487.2,10,506.7,16
TOTAL*,45845.5,,47375.1,,18044.2,,37914.8,,45256.4,
