,2016/2017,Rank,2015/2016,Rank,2014/2015,Rank,2013/2014,Rank
CHINA,36148.3,1,29855,1,29640.8,1,27602.2,1
MEXICO,3665,2,3252.6,2,3438.8,2,3194.5,2
INDNSIA,2296.9,3,2028.6,5,1875.9,5,2291.5,3
JAPAN,2137.2,4,2145.6,3,2011.4,3,1826.4,4
NETHLDS,2044.9,5,2037.7,4,1879.4,4,1015.6,7
TAIWAN,1292.7,6,1232.9,7,1310.8,6,1133.6,5
GERMANY,1287.7,7,1757.5,6,1005.9,7,676.1,8
BANGLADH,1050,8,551,10,545.7,13,160.5,21
THAILND,950.6,9,424.2,15,518.2,14,432.4,13
EGYPT,807.2,10,295.4,19,712.4,11,604.6,9
SPAIN,731.8,11,964.1,8,852.4,8,1099.5,6
KOR REP,653.4,12,480.3,13,548.1,12,599.2,10
