CORN, Marketing Year 2014_15,Est. 2015_16 , Jul Proj 2016_17 , Aug Proj 2016_17
**Million Acres**,,,,
Area Planted,90.6,88,94.1 *,94.1
Area Harvested,83.1,80.7,86.6 *,86.6
**Bushels**,,,,
Yield per Harvested Acre,171,168.4,168.0 *,175.1
**Million Bushels**,,,,
Beginning Stocks,1232,1731,1701,1706
Production,14216,13601,14540,15153
Imports,32,65,40,50
"    **Supply, Total**",**15479**,**15397**,**16281**,**16909**
Feed and Residual,5314,5200,5500,5675
"Food, Seed & Industrial",6567,6567,6650,6650
*Ethanol & by-products*,*5200*,*5200*,*5275*,*5275*
"    Domestic, Total",11881,11767,12150,12325
Exports,1867,1925,2050,2175
"    **Use, Total**",**13748**,**13692**,**14200**,**14500**
Ending Stocks,1731,1706,2081,2409
**Avg. Farm Price ($/bu)**,**3.7**,**3.55 - 3.65**,**3.10 - 3.70**,**2.85 - 3.45**
