SOYBEANS,Marketing Year 2013_14,Est. 2014_15,Jul Proj. 2015_16,Aug Proj. 2015_16
**Million Acres**,,,,
Area Planted,76.8,83.7,85.1 *,84.3
Area Harvested,76.3,83.1,84.4 *,83.5
**Bushels**,,,,
Yield per Harvested Acre,44,47.8,46.0 *,46.9
**Million Bushels**,,,,
Beginning Stocks,141,92,255,240
Production,3358,3969,3885,3916
Imports,72,30,30,30
"**Supply, Total**",**3570**,**4091**,**4170**,**4186**
Crushings,1734,1845,1840,1860
Exports,1638,1825,1775,1725
Seed,97,98,92,92
Residual,9,83,38,40
"**Use, Total**",**3478**,**3851**,**3744**,**3717**
Ending Stocks,92,240,425,470
**Avg. Farm Price ($/bu)**,**13**,**10.05**,**8.50 - 10.00**,**8.40 - 9.90**
