"Index","Nearby"
2010-01-04,65.85
2010-01-06,66.575
2010-01-07,67.1
2010-01-08,67.25
2010-01-11,66.675
2010-01-12,66.4
2010-01-13,68.975
2010-01-14,69.05
2010-01-15,69.975
2010-01-19,70.75
2010-01-20,70.45
2010-01-21,72.65
2010-01-22,71.975
2010-01-25,70.5
2010-01-26,68.675
2010-01-27,68.95
2010-01-28,69.4
2010-01-29,68.6
2010-02-01,66.15
2010-02-02,66.85
2010-02-03,67.075
2010-02-04,66.925
2010-02-05,66.725
2010-02-08,68.775
2010-02-09,67.85
2010-02-10,68.175
2010-02-11,67.675
2010-02-12,68.2
2010-02-16,68.275
2010-02-17,69.2
2010-02-18,70.275
2010-02-19,69.65
2010-02-22,70.3
2010-02-24,70.35
2010-02-25,72.125
2010-02-26,72.8
2010-03-01,72.95
2010-03-02,72.45
2010-03-03,73.4
2010-03-04,73.575
2010-03-05,73.1
2010-03-08,72.8
2010-03-09,72.4
2010-03-10,72.55
2010-03-11,71.875
2010-03-12,72.65
2010-03-15,71.8
2010-03-16,71.75
2010-03-17,71.6
2010-03-18,72.875
2010-03-19,82.575
2010-03-22,82.85
2010-03-23,82.05
2010-03-24,71.125
2010-03-25,79.625
2010-03-26,78.025
2010-03-29,81.025
2010-03-30,73.05
2010-03-31,82.9
2010-04-01,83.375
2010-04-05,85.95
2010-04-06,84.3
2010-04-07,84.6
2010-04-08,84.725
2010-04-09,84.375
2010-04-12,83.975
2010-04-13,85.475
2010-04-14,84.95
2010-04-15,86.075
2010-04-16,86.15
2010-04-19,86.35
2010-04-20,85.5
2010-04-21,87.075
2010-04-22,86.95
2010-04-23,85.175
2010-04-26,84.275
2010-04-27,84.95
2010-04-28,84.6
2010-04-29,83.825
2010-04-30,86.325
2010-05-03,86.925
2010-05-04,86.75
2010-05-05,84.475
2010-05-06,84.1
2010-05-07,85.525
2010-05-10,85.85
2010-05-11,85.325
2010-05-12,85.65
2010-05-13,84.6
2010-05-14,83.55
2010-05-17,81.5
2010-05-18,81.3
2010-05-19,82.025
2010-05-20,80.25
2010-05-21,81.45
2010-05-24,81.875
2010-05-25,81.15
2010-05-26,82.6
2010-05-27,81.175
2010-05-28,82.6
2010-06-01,82.75
2010-06-02,82.175
