"","Date","Open","High","Low","Last","Change","Settle","Volume","Prev. Day Open Interest"
"1",2012-03-14,672.25,678,665,NA,NA,669.5,1671,1116
"2",2012-03-13,670.25,678.5,668.5,NA,NA,674,2108,2566
"3",2012-03-12,653,673,652.5,NA,NA,671.5,2510,3543
"4",2012-03-09,644.75,660.75,642,NA,NA,654,1867,4590
"5",2012-03-08,643,650,639.25,NA,NA,645,5786,6967
"6",2012-03-07,657.75,659.5,642.25,NA,NA,643.75,6337,9332
"7",2012-03-06,665.5,666,656,NA,NA,658,7162,12621
"8",2012-03-05,659,671,655.5,NA,NA,666.25,10499,17171
"9",2012-03-02,653,660,648,NA,NA,659,14381,22371
"10",2012-03-01,655.75,657.5,649.5,NA,NA,653.75,18561,29577
"11",2012-02-29,653,659,651.25,NA,NA,656.5,49664,51188
"12",2012-02-28,642.5,654,642,NA,NA,653.5,117059,83253
"13",2012-02-27,638.5,645.75,633,NA,NA,644.5,149031,133384
"14",2012-02-24,638.5,641.5,634.5,NA,NA,640.75,114221,172793
"15",2012-02-23,638.25,643.5,633.25,NA,NA,639.5,146566,188813
"16",2012-02-22,630,639.5,625.75,NA,NA,638.25,160347,205379
"17",2012-02-21,643.25,645,625.25,NA,NA,629.5,204146,233427
"18",2012-02-17,635.5,646.75,635.25,NA,NA,641.75,149633,249410
"19",2012-02-16,627,637,621.75,NA,NA,636.25,185991,267369
"20",2012-02-15,633.5,638.5,625.25,NA,NA,627,173524,271108
"21",2012-02-14,639,640.5,631.5,NA,NA,633.5,196289,285333
"22",2012-02-13,634.5,643.5,632.75,NA,NA,639.5,223004,308776
"23",2012-02-10,636.5,638.75,628.25,NA,NA,631.75,166115,325084
"24",2012-02-09,641.75,652,632.75,NA,NA,637,255926,342615
"25",2012-02-08,642,648.75,632,NA,NA,642.5,230245,362950
"26",2012-02-07,643,645,639.25,NA,NA,642.25,170391,381111
"27",2012-02-06,641,648.5,639.25,NA,NA,644.25,126629,387827
"28",2012-02-03,642.5,646.5,638,NA,NA,644.5,128917,394919
"29",2012-02-02,641.75,647,634.25,NA,NA,643,166636,404642
"30",2012-02-01,639,650,638,NA,NA,642,166493,406246
"31",2012-01-31,632.25,642,631,NA,NA,639,213077,414430
"32",2012-01-30,639.5,642.75,627.5,NA,NA,631.75,149430,424263
"33",2012-01-27,633.5,642.25,631,NA,NA,641.75,145068,429401
"34",2012-01-26,634.25,645.75,633.25,NA,NA,634.5,193996,431967
"35",2012-01-25,629.5,638,625.5,NA,NA,634.5,186257,438711
"36",2012-01-24,619.5,636,614.5,NA,NA,630.25,220785,446482
"37",2012-01-23,613.5,621.25,612,NA,NA,620,166183,444379
"38",2012-01-20,606,613.75,601.25,NA,NA,611.5,147151,448884
