"","Date","Open","High","Low","Last","Change","Settle","Volume","Open Interest"
"1",2016-09-26,344,346.25,338.5,339.75,7.25,339,37977,247535
"2",2016-09-23,346.25,348.5,344,345,0.5,346.25,51482,241170
"3",2016-09-22,349.25,351.25,345,346.25,3.25,346.75,19949,241032
"4",2016-09-21,349.5,350.75,348,349,0.75,350,23226,240704
"5",2016-09-20,346.5,352.5,345.5,350,3.25,350.75,23368,236896
"6",2016-09-19,347,350,342.5,347.5,0.25,347.5,25152,237075
"7",2016-09-16,340,348.25,337.75,346.25,7,347.25,37656,235997
"8",2016-09-15,342,345.5,338.25,340.25,2.25,340.25,38103,237964
"9",2016-09-14,340.75,343,337,343,1.75,342.5,23092,234694
"10",2016-09-13,350,351.75,340,341,9.25,340.75,34448,232454
"11",2016-09-12,351,353.75,346.5,350.5,1.5,350,36845,229274
"12",2016-09-09,348,352.25,344.5,350.75,3,351.5,38745,225061
"13",2016-09-08,343.5,348.5,342.5,348,5.5,348.5,34424,224864
"14",2016-09-07,337.5,344,336.5,343.75,4.25,343,45966,225385
"15",2016-09-06,337.75,339.25,333.25,337,0.25,338.75,26305,225453
"16",2016-09-02,334.25,340,334.25,339.25,4.25,338.5,36130,225311
"17",2016-09-01,326,335.5,325.5,334,8.25,334.25,46404,220222
"18",2016-08-31,326,329.25,325,326.5,0.25,326,48811,214803
"19",2016-08-30,331,332,325.5,326.25,5.25,325.75,47023,206245
"20",2016-08-29,334.75,336.75,330,331.5,3.5,331,30573,202420
"21",2016-08-26,342,343.5,334.25,335,7.5,334.5,32041,204675
"22",2016-08-25,345.75,347,340.75,340.5,4,342,34475,202427
"23",2016-08-24,347,349,344.5,347,1,346,32767,196389
"24",2016-08-23,352,352,345,347.5,5.25,347,26452,192044
"25",2016-08-22,353,353.5,349.75,353,1.25,352.25,22263,190510
"26",2016-08-19,352.25,354,350,354,1.75,353.5,35950,188801
"27",2016-08-18,349.25,352.75,346,352,2,351.75,30964,188716
"28",2016-08-17,347,350,345.75,350,2.5,349.75,44919,184380
"29",2016-08-16,347.5,349.25,344.5,347,0.25,347.25,29080,184435
"30",2016-08-15,342.5,349.5,342,348.25,3.5,347,29176,181237
"31",2016-08-12,342,344.25,333,344,1.5,343.5,58182,175453
"32",2016-08-11,343.5,344.25,341.25,342,1.25,342,25399,174087
"33",2016-08-10,343,346.25,342,343.25,0.25,343.25,37905,167168
"34",2016-08-09,344.75,346,342,343.5,2,343,41951,162509
"35",2016-08-08,344.5,346.5,341.5,344.5,0.5,345,29694,159275
"36",2016-08-05,341.25,345,340.25,343.25,3,344.5,36354,154267
"37",2016-08-04,345,346.5,340.75,341.25,3.5,341.5,31655,148898
"38",2016-08-03,343.75,348.25,342.25,345.75,1.25,345,26141,144066
"39",2016-08-02,343,345.25,338.5,344.25,0.5,343.75,44400,134737
"40",2016-08-01,350,350.75,343,343.75,8.25,343.25,18670,131443
"41",2016-07-29,347.5,352,345,351,4,351.5,22655,130511
"42",2016-07-28,351.5,354.5,345.5,348.25,4.25,347.5,21209,128183
"43",2016-07-27,349,354.25,348.25,352.25,2.75,351.75,19212,127607
"44",2016-07-26,350,352.75,347.75,350,2,349,20023,124911
"45",2016-07-25,351.5,354.5,346.5,351,0.5,351,21310,121940
"46",2016-07-22,350.75,352.5,342.75,352.5,1.25,351.5,27850,118266
"47",2016-07-21,353.25,357.25,348.25,349.5,3,350.25,24318,113043
"48",2016-07-20,360,362.75,350.75,355,4.25,353.25,31704,110100
"49",2016-07-19,371.5,371.5,357.25,359,14.25,357.5,25981,108581
"50",2016-07-18,366,372.25,362.5,371.5,5.5,371.75,18560,106669
"51",2016-07-15,371,375.75,358,366,6.25,366.25,30281,107203
"52",2016-07-14,377,387.5,370.75,371.25,4.75,372.5,29321,107359
"53",2016-07-13,369.25,383,368,377.75,8.5,377.25,28165,107316
"54",2016-07-12,365,370.75,358.75,368.25,4.75,368.75,31505,104904
"55",2016-07-11,375,376,359.75,364.5,6.5,364,24293,105066
"56",2016-07-08,358.5,371,357.75,371,13.25,370.5,23159,103096
"57",2016-07-07,358.75,369.25,356,357.25,0.5,357.25,28803,101397
"58",2016-07-06,366.75,368.75,355.25,358.75,9.75,357.75,29300,100617
"59",2016-07-05,371.5,371.5,357.5,367,8.5,367.5,28539,100137
"60",2016-07-01,381.5,384.25,374.75,376,3.5,376,25469,98082
"61",2016-06-30,393,395.25,373.25,382.5,10.75,379.5,37625,99036
"62",2016-06-29,402,402.75,390,391.25,10.5,390.25,15721,98990
"63",2016-06-28,401.5,413.25,398.25,400.75,0.25,400.75,12111,99300
"64",2016-06-27,402,409,399.25,401.5,0.75,401,11817,98507
"65",2016-06-24,405.25,407.25,390,402.25,3.5,401.75,17232,97143
