"","Date","Open","High","Low","Last","Change","Settle","Volume","Prev. Day Open Interest"
"1",2016-05-13,380.25,385.5,380.25,384,3.25,382,285,235
"2",2016-05-12,374.75,386,374.5,383.75,11.25,385.25,781,679
"3",2016-05-11,378.5,381,371.75,374,4.5,374,1093,1159
"4",2016-05-10,367.75,383,367,378.25,10.75,378.5,841,1714
"5",2016-05-09,379.5,379.5,367,367,8.25,367.75,1007,2194
"6",2016-05-06,372.25,377.5,372.25,376,4.25,376,1521,3129
"7",2016-05-05,374.5,376.75,368.5,372,1.5,371.75,2438,4032
"8",2016-05-04,376.5,377.75,372.5,373,5,373.25,9837,8217
"9",2016-05-03,390.25,393.5,375.75,377.25,12,378.25,5385,11174
"10",2016-05-02,388.75,391,383.5,390.75,NA,390.25,7711,15056
"11",2016-04-29,387,392,385,390.75,3.25,390.25,19306,21879
"12",2016-04-28,379.75,390.75,378.5,388,6.25,387,63802,50626
"13",2016-04-27,382,382.75,377,380,1.5,380.75,64712,71293
"14",2016-04-26,377.25,383,374,382,5.25,382.25,81786,93994
"15",2016-04-25,371.25,385,368.5,375.25,5.25,377,88662,115580
"16",2016-04-22,384.25,384.25,370.5,372,12.75,371.75,152162,173454
"17",2016-04-21,394,402,383.25,383.25,10.25,384.5,175360,191932
"18",2016-04-20,384.5,395.5,383.25,395.75,10.25,394.75,205105,210430
"19",2016-04-19,380,386,380,384,3.5,384.5,262913,254259
"20",2016-04-18,375.25,384,375,379,2.5,381,208559,260254
"21",2016-04-15,373.5,380.5,372,377.5,4.5,378.5,281613,290718
"22",2016-04-14,373,374.5,369.75,373,0.5,374,277581,325001
"23",2016-04-13,363,374.75,363,373,10.75,373.5,368846,373297
"24",2016-04-12,357,365.5,356.75,361,6,362.75,320145,418986
"25",2016-04-11,362,362.25,356,356.75,5.5,356.75,230500,446758
"26",2016-04-08,361.5,362.75,359,361.75,0.75,362.25,205697,492020
"27",2016-04-07,357.75,362,357.5,361.25,3.5,361.5,254644,546999
"28",2016-04-06,356.75,359,355,358,1.25,358,159620,561245
"29",2016-04-05,354.5,357,353.5,356.5,2.25,356.75,192268,571785
"30",2016-04-04,353.75,355,350.75,353.75,0.5,354.5,168371,578995
"31",2016-04-01,351.75,354.5,347.25,354,2.5,354,249214,586734
"32",2016-03-31,366.75,367.25,347.5,351.5,15.5,351.5,501024,571389
"33",2016-03-30,372.5,374,366.75,367,6,367,194110,582851
"34",2016-03-29,370.5,373,368.5,372,2.5,373,149699,600368
"35",2016-03-28,369.5,372,367.75,370.5,0.5,370.5,118085,607397
"36",2016-03-24,368.75,370.25,367.25,370,1.5,370,130500,613585
"37",2016-03-23,369.75,370,366,368.5,1.5,368.5,116948,616881
"38",2016-03-22,369,371.75,368.75,369.75,0.5,370,138757,629418
"39",2016-03-21,366.5,370,365.75,369,2.5,369.5,99786,634864
"40",2016-03-18,368,369.25,366,366.75,1.5,367,87737,636918
"41",2016-03-17,368.25,372,366.5,367.5,0.25,368.5,185594,632327
"42",2016-03-16,367.75,368.5,366,368,0.25,368.25,95523,639438
