"","Date","Open","High","Low","Last","Change","Settle","Volume","Open Interest"
"1",2016-09-26,350,352.5,345.25,345.5,6.75,346,10428,63368
"2",2016-09-23,353.5,355.5,351,351.75,1.25,352.75,17812,64873
"3",2016-09-22,356.5,358.25,352,353.25,3,354,8241,63882
"4",2016-09-21,356.5,358,355.25,356.5,1,357,6046,62727
"5",2016-09-20,353.5,359.25,352.75,357,3.25,358,6542,62309
"6",2016-09-19,354.5,357.25,349.75,354.75,0.25,354.75,9238,61512
"7",2016-09-16,346.75,355.25,344.75,353.5,7.5,354.5,11134,61741
"8",2016-09-15,349.5,352.5,345.5,346.75,3,347,12429,62512
"9",2016-09-14,348,350.5,344.5,350.25,2,350,7573,61626
"10",2016-09-13,356.75,359,347.25,348.25,9.5,348,11866,59887
"11",2016-09-12,358.25,360.75,353.5,357.75,1.25,357.5,14699,57964
"12",2016-09-09,355,359.25,352,360,3,358.75,12050,57029
"13",2016-09-08,350.5,355.75,350,355.25,5.25,355.75,12342,56579
"14",2016-09-07,345,351.25,344,345.25,4.5,350.5,10427,58009
"15",2016-09-06,344.5,346.5,340.25,344,0.75,346,8896,57522
"16",2016-09-02,341.5,346.75,341,345.5,3.75,345.25,9501,56494
"17",2016-09-01,333.5,342.75,333,341.25,8,341.5,10770,55289
"18",2016-08-31,333.25,336.75,332.5,333.25,0.25,333.5,15791,53958
"19",2016-08-30,338.25,339.25,333,333.75,5,333.25,7734,52300
"20",2016-08-29,341.75,343.75,337.5,338.25,3.5,338.25,9162,51344
"21",2016-08-26,349,350.5,341.5,342.25,7.25,341.75,6034,50240
"22",2016-08-25,352.75,353.5,347.75,349,3.75,349,5173,50896
"23",2016-08-24,353.75,355.75,351.25,352.75,1,352.75,4699,50701
"24",2016-08-23,358,358,352,354.25,5.25,353.75,7261,48432
"25",2016-08-22,359.5,360,356,359.75,1.25,359,3077,47662
"26",2016-08-19,359,360.75,357,360.5,1.5,360.25,5098,47482
"27",2016-08-18,356,359.75,352.75,359.25,2.75,358.75,5145,47140
"28",2016-08-17,353.25,356.5,352.75,356.5,2.25,356,3887,46309
"29",2016-08-16,353.75,355.75,351,354.25,NA,353.75,4352,46447
"30",2016-08-15,349.75,355.75,348.75,354.75,3.5,353.75,6368,46206
"31",2016-08-12,348.5,350.75,340,350.5,1.25,350.25,13371,42651
"32",2016-08-11,349.75,350.75,348,347,1,349,7302,41682
"33",2016-08-10,349.5,352.75,349,350,0.25,350,5256,40468
"34",2016-08-09,351.75,352.5,348.75,350.25,2,349.75,5508,39697
"35",2016-08-08,351,352.75,348.25,352,0.5,351.75,5233,39437
"36",2016-08-05,348,351.75,347.25,350,3,351.25,8255,38437
"37",2016-08-04,351.75,353,348,347,3.5,348.25,6227,37516
"38",2016-08-03,350.5,355,349,352.5,1.25,351.75,5723,37186
"39",2016-08-02,349,351.25,345.25,351,1.5,350.5,12911,34966
"40",2016-08-01,355.75,356.5,349,350.25,8.25,349,6120,34672
"41",2016-07-29,353.25,357.5,350.5,350.5,4,357.25,4434,33861
"42",2016-07-28,357,359.75,351.5,354,3.75,353.25,5062,33104
"43",2016-07-27,354,359.25,354,357,2.5,357,4000,33060
"44",2016-07-26,356,358.5,353.25,354.75,2.25,354.5,4823,32708
"45",2016-07-25,356.5,360,353,356.75,0.25,356.75,10353,31091
"46",2016-07-22,356.25,358.75,349,358.75,1,357,5557,29981
"47",2016-07-21,359,362.75,354.25,355,3,356,5030,29023
"48",2016-07-20,365.5,367.5,356.5,359.25,4,359,8071,27276
"49",2016-07-19,375.75,375.75,363,365,13.5,363,3944,26722
"50",2016-07-18,370.5,377,367.5,374,6,376.5,4238,26621
"51",2016-07-15,379,380.5,363.5,370.75,6.75,370.5,5719,26380
"52",2016-07-14,382,391.75,375.75,376,4.75,377.25,7452,25631
"53",2016-07-13,376.25,387.25,373.75,382.75,8.25,382,6572,25441
"54",2016-07-12,370.25,375.75,364.5,373.5,4.25,373.75,7621,25156
"55",2016-07-11,376.75,380.25,365.5,370.25,6.25,369.5,6712,24443
"56",2016-07-08,364.75,376.5,364,375.75,12.5,375.75,5931,24456
"57",2016-07-07,365.5,375,362,363,0.25,363.25,10381,23611
"58",2016-07-06,372.75,373.5,361.5,364.75,9.5,363.5,7476,23822
"59",2016-07-05,377,377.25,363.25,372.5,8.25,373,7999,23543
"60",2016-07-01,384.75,389.5,380.25,381.5,3.25,381.25,5917,23339
"61",2016-06-30,397.75,399,378.75,387.5,9.75,384.5,13074,22764
"62",2016-06-29,403,406.25,394,395.25,10.25,394.25,4498,22872
"63",2016-06-28,403,416.75,402.25,404.5,0.5,404.5,4426,22546
"64",2016-06-27,405,412.5,403.25,405.75,0.75,405,3662,22619
"65",2016-06-24,408.5,410.5,394.25,406.75,3.5,405.75,5393,22252
"66",2016-06-23,412.25,414,406.25,400,5,409.25,3114,22522
"67",2016-06-22,419,423.75,413.25,413.5,5.25,414.25,3801,22934
"68",2016-06-21,441.5,443,418.75,420.25,23,419.5,4830,23090
"69",2016-06-20,446.75,448.75,441.5,441.5,11.5,442.5,3684,22373
"70",2016-06-17,443,454.25,443,453.5,11,454,2377,22290
"71",2016-06-16,444.5,448,439.75,443.75,4,443,2325,21995
"72",2016-06-15,452.75,455,446.75,446.75,6.5,447,2704,21835
"73",2016-06-14,447.25,453.75,441.5,453.5,5.25,453.5,3682,21198
"74",2016-06-13,443,453.25,443,448,9.5,448.25,4814,20931
"75",2016-06-10,440,448.75,434.75,439,2.25,438.75,4590,20690
"76",2016-06-09,441.75,443.5,437.25,430.25,3,441,4356,20423
"77",2016-06-08,440,451.5,439.25,438.5,2.5,444,4679,20643
"78",2016-06-07,436.25,441.5,435.5,431,2.75,441.5,2821,20012
"79",2016-06-06,429,438.75,429,437.75,9.5,438.75,4629,19429
"80",2016-06-03,425.5,429.25,422.5,428.75,3,429.25,2923,18988
"81",2016-06-02,426.5,428.75,424.25,424.25,0.75,426.25,2062,18413
"82",2016-06-01,417.25,427.5,415.75,426.75,8.25,427,4815,17622
"83",2016-05-31,421.75,425.25,418,418.75,5,418.75,2013,17429
"84",2016-05-27,419,423.75,418.25,423.75,4,423.75,3155,17318
"85",2016-05-26,416.75,420.25,413.5,419.5,2,419.75,4304,16781
"86",2016-05-25,411.75,418,411.75,417.75,5.5,417.75,2411,16144
"87",2016-05-24,413,417.25,410.75,411.25,1,412.25,4443,15621
"88",2016-05-23,409,414.5,407,413.25,3,413.25,3357,14793
"89",2016-05-20,409.25,415,407.75,410,1,410.25,2830,14217
"90",2016-05-19,414.5,415.5,404,408.25,7.75,409.25,2189,14086
"91",2016-05-18,415,417.5,412.75,415,1.5,417,2961,13877
"92",2016-05-17,410.75,416.25,410.5,416.25,3.25,415.5,2727,13229
"93",2016-05-16,407.75,412.25,406.75,411.75,2,412.25,1761,12679
"94",2016-05-13,407.5,410.5,405,410.5,2,410.25,1373,12193
"95",2016-05-12,400.25,408.25,399.75,408.25,9.5,408.25,1545,12093
"96",2016-05-11,401.25,403.5,395.75,399,3.5,398.75,1729,12167
"97",2016-05-10,392,406,390.25,401.25,10.25,402.25,4008,11903
"98",2016-05-09,399.75,401.25,391.25,391.25,7.75,392,1684,11870
"99",2016-05-06,396.25,400.25,396.25,399.5,3.5,399.75,1186,11697
"100",2016-05-05,398,400.75,394.75,396.25,2.75,396.25,1033,11527
"101",2016-05-04,401,402.25,397.75,397.75,1.25,399,1318,11477
"102",2016-05-03,408.75,410.75,397.75,399.75,9,400.25,2208,11407
"103",2016-05-02,405,409.25,401.25,409.25,1.75,409.25,1079,11250
"104",2016-04-29,404.5,410,404.5,407,0.5,407.5,1114,11233
"105",2016-04-28,403.25,410.25,402.75,407.75,2.75,408,2493,10813
"106",2016-04-27,409,409.25,401.75,404.25,4,405.25,1261,10625
"107",2016-04-26,401.25,409.5,400,408.75,7.5,409.25,2605,10607
"108",2016-04-25,391.25,405,390,403.25,8.25,401.75,1868,10493
"109",2016-04-22,404.25,404.25,392.75,392.75,11,393.5,2585,10123
"110",2016-04-21,413,419,404.25,404.5,9.75,404.5,2848,9936
"111",2016-04-20,408.5,415.25,407.25,415.25,5.5,414.25,2467,9794
"112",2016-04-19,402,409,402,408.5,5.25,408.75,1302,9665
"113",2016-04-18,401.5,405.25,399,404,1.25,403.5,1294,9545
"114",2016-04-15,399,403.5,397.5,401.75,2.5,402.25,2805,9106
"115",2016-04-14,398,400,397,399.75,1.25,399.75,1709,8849
"116",2016-04-13,388.75,398.75,388.5,398,9,398.5,1785,8301
"117",2016-04-12,384,389.5,383.5,389.5,5,389.5,1780,8535
"118",2016-04-11,390.25,390.25,383.75,384.5,5.75,384.5,733,8479
"119",2016-04-08,389.75,390.25,387,389.75,0.25,390.25,1108,8379
"120",2016-04-07,386.5,390.25,386.5,389.5,2.75,390,1459,8337
"121",2016-04-06,386,387.5,384.5,387,0.5,387.25,1316,8314
"122",2016-04-05,385.25,386.5,383.25,386.5,2,386.75,2121,8133
"123",2016-04-04,384.25,385,382.5,384.25,0.5,384.75,1699,7840
"124",2016-04-01,385,385,379.75,384.5,1.25,385.25,2000,7410
"125",2016-03-31,396.25,397,380.25,383.5,13,384,3138,7326
"126",2016-03-30,401.5,402.75,396.5,396.75,5,397,510,7231
"127",2016-03-29,399.5,402,399,402,2,402,814,7228
"128",2016-03-28,398.25,401.25,398,400,NA,400,514,7083
"129",2016-03-24,399,400.25,397.5,400,1,400,425,7105
"130",2016-03-23,400,400.5,396.5,399,2.25,399,245,7078
"131",2016-03-22,399.75,402.5,399.75,400.25,0.75,401.25,371,6996
"132",2016-03-21,400,400.5,397.5,400.25,2,400.5,429,6837
"133",2016-03-18,400,400.5,397.5,398,2,398.5,282,6736
"134",2016-03-17,399.75,402.5,398.25,399.25,0.75,400.5,495,6681
"135",2016-03-16,399.5,399.75,397.75,399.25,0.25,399.75,801,6299
"136",2016-03-15,399,400.5,398,399.5,NA,400,989,5988
"137",2016-03-14,395.5,399.75,395.5,400,4.75,400,565,5845
"138",2016-03-11,394,395.5,393.75,395,1.25,395.25,648,5538
"139",2016-03-10,391.5,394.25,390.5,393.75,1.75,394,196,5476
"140",2016-03-09,392,393.5,390.5,392,0.75,392.25,811,5329
"141",2016-03-08,392,394.25,389.75,392.75,1,393,181,5326
"142",2016-03-07,393.75,394,391.5,391.5,1,392,246,5256
"143",2016-03-04,389.75,392.25,389.25,391,2.25,391,266,5084
"144",2016-03-03,387.5,389.25,386.75,388.75,1.5,388.75,104,5081
"145",2016-03-02,387,388.25,386.75,387,0.25,387.25,431,5082
"146",2016-03-01,388.5,389.5,387.25,387.25,1.75,387,279,5074
"147",2016-02-29,392.25,392.75,388.75,388.75,3,388.75,633,4809
"148",2016-02-26,393.25,393.5,390.5,392,1.5,391.75,637,4658
"149",2016-02-25,398,398,392.5,393.25,3.5,393.25,1053,4467
"150",2016-02-24,398.5,399,395.75,396.25,2,396.75,438,4285
"151",2016-02-23,402.25,402.25,398.5,398.75,3.75,398.75,1079,3940
"152",2016-02-22,401.5,402.75,401,402.5,3.25,402.5,618,3732
"153",2016-02-19,400,400.25,398.75,399.75,0.75,399.25,1962,3737
"154",2016-02-18,403,403,400.25,400.25,2.75,400,710,3565
"155",2016-02-17,399.75,403,399.75,402.75,2.5,402.75,693,3535
"156",2016-02-16,398,400.5,397.25,400,3.25,400.25,655,3381
"157",2016-02-12,398.25,399.5,397,397,1,397,401,3261
"158",2016-02-11,397.5,400.25,397,398.5,0.25,398,726,2952
"159",2016-02-10,398.75,398.75,397.5,398.5,0.5,398.25,148,2871
"160",2016-02-09,399.5,400.75,398.25,398.75,1.5,398.75,323,2795
"161",2016-02-08,402.25,403.75,399.5,400,3.5,400.25,125,2763
"162",2016-02-05,405.5,405.75,404,404,2,403.75,58,2761
"163",2016-02-04,409,409,405.25,405.75,1.5,405.75,119,2739
"164",2016-02-03,407.75,409,406.25,406.75,1.25,407.25,280,2599
"165",2016-02-02,406,408.25,405,408,1.5,408.5,90,2574
"166",2016-02-01,407,407,404.5,406.25,0.5,407,110,2570
