"","Date","Open","High","Low","Last","Change","Settle","Volume","Prev. Day Open Interest"
"1",2013-07-12,718,800,700.5,NA,NA,701.5,777,625
"2",2013-07-11,712,730,709,NA,NA,716.75,3239,2860
"3",2013-07-10,703.75,711.75,703.25,NA,NA,709.75,2637,4580
"4",2013-07-09,692,710,692,NA,NA,704,4179,7137
"5",2013-07-08,684,695,684,NA,NA,691.75,4640,10283
"6",2013-07-05,678,687,677.75,NA,NA,684.75,3077,11585
"7",2013-07-03,674,681.75,670,NA,NA,678.25,4197,13162
"8",2013-07-02,652.5,678.5,651,NA,NA,672.75,8414,15585
"9",2013-07-01,678.5,690,653.5,NA,NA,655.5,19172,22555
"10",2013-06-28,668,685.5,652.25,NA,NA,679.25,38440,35665
"11",2013-06-27,664,673,660.5,NA,NA,667.25,90474,63771
"12",2013-06-26,658.5,667,658.5,NA,NA,664.5,85004,89727
"13",2013-06-25,654,661,652,NA,NA,656.75,76643,117648
"14",2013-06-24,660,660.25,650.5,NA,NA,653.25,64681,136046
"15",2013-06-21,673,673.75,660.25,NA,NA,661.75,89207,163916
"16",2013-06-20,679.75,679.75,667.5,NA,NA,673.25,80891,181677
"17",2013-06-19,672,683.75,665.25,NA,NA,682.25,146404,206985
"18",2013-06-18,667.75,677.25,662.5,NA,NA,673.25,161359,234799
"19",2013-06-17,652.5,672,651.5,NA,NA,668.5,123140,260194
"20",2013-06-14,644,658,643.75,NA,NA,655,97877,278624
"21",2013-06-13,652,653,640.5,NA,NA,643.5,124879,293166
"22",2013-06-12,659,662,646.25,NA,NA,650.75,138982,308852
"23",2013-06-11,650.5,661.25,647.25,NA,NA,659.5,111939,326031
"24",2013-06-10,661.25,664.5,648.5,NA,NA,650,122754,356617
"25",2013-06-07,662.75,674,659.5,NA,NA,666.25,123843,367875
"26",2013-06-06,660,664.5,655.5,NA,NA,663.25,73667,370777
"27",2013-06-05,660.75,667,658.5,NA,NA,660.75,100885,383240
"28",2013-06-04,655.5,664.25,648,NA,NA,660.5,92034,392043
"29",2013-06-03,661.25,669,643.75,NA,NA,655.75,120933,403449
"30",2013-05-31,654,665.75,652.25,NA,NA,662,98242,408423
"31",2013-05-30,663.75,667.25,649.5,NA,NA,654.25,103604,420568
"32",2013-05-29,666,668.25,651.5,NA,NA,665,136732,427864
"33",2013-05-28,659,669.75,655,NA,NA,666.5,86547,433733
"34",2013-05-24,660.5,664.75,655.5,NA,NA,657.25,84067,437382
"35",2013-05-23,658,669.75,653,NA,NA,662,117907,435431
"36",2013-05-22,640.25,659.25,637.75,NA,NA,658.5,120208,435710
"37",2013-05-21,644.75,647,632.5,NA,NA,640,102740,437124
"38",2013-05-20,652,660.75,642.75,NA,NA,649.5,89972,437226
"39",2013-05-17,641.75,656,638.25,NA,NA,652.75,100692,439716
"40",2013-05-16,650.25,652,640.25,NA,NA,641.5,72916,441390
"41",2013-05-15,652,659.75,645,NA,NA,650.75,79891,441125
"42",2013-05-14,655,657.75,646.5,NA,NA,652.5,65917,448292
"43",2013-05-13,632.5,661,632.5,NA,NA,655.5,137008,446738
"44",2013-05-10,647.25,648.5,625,NA,NA,636.25,116478,448281
"45",2013-05-09,633,652.5,629,NA,NA,648.75,100269,453401
"46",2013-05-08,639,643,626.5,NA,NA,633,76830,452850
"47",2013-05-07,638.5,645.75,633.75,NA,NA,640,86519,457989
"48",2013-05-06,650.5,652,633.25,NA,NA,636.5,100225,459180
"49",2013-05-03,660.5,667,657.75,NA,NA,661.25,79376,457992
"50",2013-05-02,646,662.75,645,NA,NA,662,94289,460304
"51",2013-05-01,647,652.75,639.5,NA,NA,646.75,89413,466223
"52",2013-04-30,660,669,647.75,NA,NA,650,153053,474686
"53",2013-04-29,625,659.75,625,NA,NA,659.75,191095,473824
"54",2013-04-26,624,624.5,618,NA,NA,619.75,93221,463313
"55",2013-04-25,618,627,617.5,NA,NA,624.5,80660,463101
"56",2013-04-24,614,621,610,NA,NA,618.25,105535,452567
"57",2013-04-23,625,625.25,613.25,NA,NA,614,103766,446523
"58",2013-04-22,629.75,630,618.25,NA,NA,623.5,81376,446822
"59",2013-04-19,629.75,636,627,NA,NA,633,82457,437588
"60",2013-04-18,640,645,628.5,NA,NA,629.75,123296,422552
