"","Date","Open","High","Low","Last","Change","Settle","Volume","Open Interest"
"1",2016-09-26,358,359.25,352.5,352.5,6.75,352.75,9407,113825
"2",2016-09-23,360.5,362.25,358,358.75,1.25,359.5,11350,111440
"3",2016-09-22,363,364.75,359,360,3,360.75,7961,112049
"4",2016-09-21,362.75,364.25,361.75,363,0.5,363.75,6145,112344
"5",2016-09-20,361.25,366,359.25,363.75,2.75,364.25,6019,112153
"6",2016-09-19,361.25,363.75,356.5,361.5,0.5,361.5,8298,112348
"7",2016-09-16,353.25,361.75,351.75,360.25,7,361,11303,112635
"8",2016-09-15,356.25,359,352.5,353.5,2.5,354,11189,112166
"9",2016-09-14,354.5,357,351.5,357,2,356.5,7646,112093
"10",2016-09-13,363.75,365.25,354.25,355,9.5,354.5,7779,111822
"11",2016-09-12,364.5,367,360,365,1.25,364,16259,111870
"12",2016-09-09,362,365.75,358.75,364.25,2.75,365.25,9372,111586
"13",2016-09-08,357.5,362.5,357,362,5,362.5,11971,110703
"14",2016-09-07,352.75,358.25,351.5,357.5,4.25,357.5,10946,110575
"15",2016-09-06,352,354,347.5,352,0.75,353.25,8734,110139
"16",2016-09-02,348.75,354,348.75,352.75,3.5,352.5,12093,111048
"17",2016-09-01,341.25,350.5,340.75,348.75,7.75,349,14685,109201
"18",2016-08-31,341.25,344.25,340.25,341.5,0.25,341.25,19118,105787
"19",2016-08-30,346,346.5,340.75,341.25,4.5,341,22467,98939
"20",2016-08-29,349.5,351,345,352,3.5,345.5,9839,97254
"21",2016-08-26,358,358,348.75,349.5,6.75,349,9569,94662
"22",2016-08-25,359.5,360.5,355,356.25,3.75,355.75,7080,93097
"23",2016-08-24,360.75,362.75,358,359.75,1.25,359.5,5099,91825
"24",2016-08-23,365,365,358.75,361.25,4.75,360.75,7603,91796
"25",2016-08-22,366.5,366.75,363,366.25,1.25,365.5,4639,91515
"26",2016-08-19,365.5,367.5,364,367.25,1.25,366.75,7837,90533
"27",2016-08-18,362.5,366.5,360,366,2.75,365.5,6124,89450
"28",2016-08-17,360.75,363,359,363,2.5,362.75,7744,89298
"29",2016-08-16,360.5,362.5,358,361,0.25,360.25,6387,88664
"30",2016-08-15,356,362,355.5,361.5,3.5,360.5,7941,88230
"31",2016-08-12,355.25,357.5,347,357.25,1.25,357,20032,84660
"32",2016-08-11,356.5,357.5,354.75,355,0.75,355.75,11010,81646
"33",2016-08-10,356,359.25,355.25,356.75,0.5,356.5,8351,80554
"34",2016-08-09,358.25,359,355.5,356.75,2.25,356,12671,77557
"35",2016-08-08,358,359.5,355,358.75,0.25,358.25,9266,75891
"36",2016-08-05,355,358.25,353.75,357,3,358,13165,74823
"37",2016-08-04,358,359.25,354.25,356,3,355,14879,72600
"38",2016-08-03,356.75,360.75,355.25,358.75,1.25,358,15936,69632
"39",2016-08-02,354.25,357,351.5,357,2,356.75,21375,66750
"40",2016-08-01,361.25,361.75,354.5,356,8,354.75,9482,65209
"41",2016-07-29,358.5,363.25,355.75,362,4.25,362.75,7186,64597
"42",2016-07-28,362,364.5,356.75,359.25,3.5,358.5,5236,64786
"43",2016-07-27,359,364,359,362.25,2.5,362,6318,63916
"44",2016-07-26,361,363.75,358.5,359.75,2.5,359.5,6878,63742
"45",2016-07-25,362.5,365.25,358.5,362,0.5,362,13719,65175
"46",2016-07-22,361.25,364,354.5,362.5,1.75,362.5,6507,65429
"47",2016-07-21,364,367.75,359.5,362,3.25,360.75,9834,64727
"48",2016-07-20,370.75,372,361.75,364.5,4,364,8577,64221
"49",2016-07-19,379.75,379.75,367.25,369.75,12.25,368,6109,63309
"50",2016-07-18,374,380.5,371.75,380.5,6,380.25,4162,63621
"51",2016-07-15,380.5,385.25,367.75,374.5,7.5,374.25,5258,62474
"52",2016-07-14,385.5,395.75,379.75,380.25,4.5,381.75,8351,62957
"53",2016-07-13,380,391,377.5,377.75,8,386.25,8657,63279
"54",2016-07-12,375.25,379.75,370,378.25,3.75,378.25,6898,62928
"55",2016-07-11,385,385.25,370.5,375,6,374.5,6212,62460
"56",2016-07-08,370.25,381.25,369.5,380.5,11.75,380.5,6422,62805
"57",2016-07-07,369.5,378.5,366.75,368.5,0.5,368.75,8440,61451
"58",2016-07-06,377.5,378.25,366.5,369.25,9.5,368.25,10984,62383
"59",2016-07-05,381.5,381.5,367.75,377.25,8,377.75,13982,60087
"60",2016-07-01,391.5,393.25,384.5,386.25,3.5,385.75,8775,58404
"61",2016-06-30,400.5,401.75,382.5,392,8.25,389.25,14309,58818
"62",2016-06-29,409,409.75,397,398.25,10.75,397.5,6030,57844
"63",2016-06-28,407,419.75,405.25,407.75,0.25,408.25,4165,57326
"64",2016-06-27,408.5,416,406.75,409,0.5,408.5,3504,57404
"65",2016-06-24,411.25,414,397,409.75,3,409,9053,57235
"66",2016-06-23,416,416.75,408.5,412,4.75,412,4599,57768
