"","Date","Open","High","Low","Last","Change","Settle","Volume","Prev. Day Open Interest"
"1",2013-09-13,479.75,480.75,450,NA,NA,450,834,748
"2",2013-09-12,479.75,485.75,466.25,NA,NA,479,2240,2614
"3",2013-09-11,474.5,480.25,473,NA,NA,479.75,2919,4602
"4",2013-09-10,475.5,476.5,472.25,NA,NA,474.75,5303,7747
"5",2013-09-09,491,493.5,475.5,NA,NA,477.25,5872,10381
"6",2013-09-06,489.25,492.5,484.25,NA,NA,491.5,3279,11576
"7",2013-09-05,493.75,495,483.5,NA,NA,489.5,6532,15324
"8",2013-09-04,497,497,487.5,NA,NA,494,8236,19429
"9",2013-09-03,501.25,504.5,486,NA,NA,498,13240,25375
"10",2013-08-30,496.75,499.5,487.75,NA,NA,495,34115,36211
"11",2013-08-29,503.75,504.5,496,NA,NA,497.25,64018,53753
"12",2013-08-28,500,506.75,495.5,NA,NA,504.25,63159,69075
"13",2013-08-27,515,519.25,498.75,NA,NA,499.75,62022,90132
"14",2013-08-26,500.75,522.75,500.75,NA,NA,515.75,73314,99100
"15",2013-08-23,487.5,500,487,NA,NA,495.5,74429,149349
"16",2013-08-22,497,498.75,486.5,NA,NA,487.5,68735,160042
"17",2013-08-21,483.5,499.5,482,NA,NA,498,75100,170549
"18",2013-08-20,492.75,494.25,482.5,NA,NA,483.75,46877,178612
"19",2013-08-19,483.25,493.75,478.25,NA,NA,493.25,56045,184507
"20",2013-08-16,481,483.75,468.5,NA,NA,473.75,63139,195852
"21",2013-08-15,465,485,464.25,NA,NA,481.5,81695,208040
"22",2013-08-14,455.25,465.75,455,NA,NA,464.75,81004,218652
"23",2013-08-13,472,476.5,453.75,NA,NA,455.25,112948,237834
"24",2013-08-12,465.5,480,457,NA,NA,472,110598,252705
"25",2013-08-09,473,476.75,464,NA,NA,465.75,80877,271347
"26",2013-08-08,468,475.5,468,NA,NA,473.5,90834,282579
"27",2013-08-07,472,476.25,467.25,NA,NA,468.25,90971,298416
"28",2013-08-06,469,475.5,465.5,NA,NA,472.25,71125,306596
"29",2013-08-05,473,475,465.5,NA,NA,469.25,75037,311549
"30",2013-08-02,487.5,489.25,475.25,NA,NA,476,84075,318330
"31",2013-08-01,499,499.75,486.5,NA,NA,487.5,68480,326719
"32",2013-07-31,495.5,499.5,493,NA,NA,499,76094,344423
"33",2013-07-30,489.75,497.25,489.5,NA,NA,495.5,64561,348688
"34",2013-07-29,492,497.5,488.25,NA,NA,489.25,65002,354108
"35",2013-07-26,495.25,499.75,490,NA,NA,492,66165,363324
"36",2013-07-25,508.5,510.75,492.25,NA,NA,496,126606,362923
"37",2013-07-24,522.5,524.25,507.75,NA,NA,508.25,102767,364928
"38",2013-07-23,539.25,539.25,521.5,NA,NA,522.5,93785,363753
"39",2013-07-22,544.25,545,536.25,NA,NA,540.75,49035,361063
