"","Date","Open","High","Low","Last","Change","Settle","Volume","Open Interest"
"1",2015-09-14,377.5,381,375,379.5,4.5,379,741,639
"2",2015-09-11,361.75,374.75,357,374.75,12.75,374.5,2234,1989
"3",2015-09-10,356,362.25,355.5,362,5.25,361.75,2086,2460
"4",2015-09-09,353.25,359.25,353.25,356.25,1.5,356.5,3799,3661
"5",2015-09-08,354.25,355.5,351,355,5.5,355,4732,4093
"6",2015-09-04,348,351,346.75,350.25,1.75,349.5,5723,5156
"7",2015-09-03,354,354.5,347.25,347.5,6.25,347.75,8437,6774
"8",2015-09-02,356.75,358,351.25,353.75,2,354,8672,8019
"9",2015-09-01,362.5,362.5,355.25,355.25,7.75,356,13869,11398
"10",2015-08-31,362.25,365.25,359.75,363,0.5,363.75,24782,20425
"11",2015-08-28,362.5,368.75,362.25,362.75,0.5,363.25,114820,64216
"12",2015-08-27,362.5,367.25,360.25,363.5,2,363.75,118412,103780
"13",2015-08-26,365.25,369,361.5,361.5,3.75,361.75,62935,127210
"14",2015-08-25,368,375,363.75,366,3.25,365.5,92260,147493
"15",2015-08-24,365,370.25,354,370,3.5,368.75,141048,172398
"16",2015-08-21,370.25,372.5,364,365.25,5.75,365.25,81827,210419
"17",2015-08-20,367,371.75,367,371,3.75,371,82443,224014
"18",2015-08-19,366,372,365.75,367.25,1,367.25,82348,239913
"19",2015-08-18,363,368.25,361.75,365.75,3,366.25,73545,254746
"20",2015-08-17,363.5,368,361.25,363.5,0.75,363.25,83984,274417
"21",2015-08-14,363.75,365.75,359.75,364.25,0.25,364,108362,296761
"22",2015-08-13,358.25,364.75,355.25,364,6.5,363.75,156678,316204
"23",2015-08-12,377,382.75,346.5,358.75,19.25,357.25,193078,338664
"24",2015-08-11,388.5,388.5,376,377.5,13.75,376.5,129898,367932
"25",2015-08-10,374,391.5,373.75,390.25,17.5,390.25,163255,387515
"26",2015-08-07,370,375,366.5,373.5,3,372.75,121900,405888
"27",2015-08-06,372.5,375,369.25,369.75,3,369.75,75429,418120
"28",2015-08-05,368.75,373.75,367.5,372,4,372.75,107572,421855
"29",2015-08-04,368,372.75,366.75,369,2.25,368.75,72449,428543
"30",2015-08-03,370,370.5,365,367,4.5,366.5,75758,434934
"31",2015-07-31,374.75,377.5,369.25,371.75,2.25,371,91978,447466
"32",2015-07-30,367.75,374.5,365.75,374.5,5.5,373.25,101864,461357
"33",2015-07-29,377.5,377.75,367,367.25,7.25,367.75,89506,467356
"34",2015-07-28,373.5,376,370,375.5,2,375,77768,473664
"35",2015-07-27,389,389.25,372.5,373,19.5,373,151089,492249
"36",2015-07-24,403.25,403.5,392,393,10.75,392.5,81299,505861
"37",2015-07-23,403.5,405.25,398.5,402.75,0.5,403.25,78800,512860
"38",2015-07-22,407.25,407.5,399.75,402.75,3.75,402.75,90227,515138
"39",2015-07-21,406.5,410.25,402.5,406.75,1.5,406.5,89043,516087
"40",2015-07-20,418.5,418.5,404.5,405.75,15.25,405,106342,519669
"41",2015-07-17,428,429.5,418.25,420,9.75,420.25,99861,526143
"42",2015-07-16,430.25,438.75,428.25,428.5,0.5,430,137455,524849
"43",2015-07-15,427,431.75,421,429,1.25,429.5,146536,533353
"44",2015-07-14,440,443.25,427.25,428,12.5,428.25,143837,532700
"45",2015-07-13,434.75,442,431,440,6,440.75,119924,535055
"46",2015-07-10,428,439.25,424.25,434.25,6,434.75,155942,535958
"47",2015-07-09,424.5,433,424,428.5,4.25,428.75,142446,539330
"48",2015-07-08,422.5,429,418.5,424.25,1.25,424.5,109273,551301
"49",2015-07-07,420.25,424.5,415,423.5,3.25,423.25,191024,545459
"50",2015-07-06,427,428,417,426.5,2,426.5,135144,548621
"51",2015-07-02,422,430.75,418.5,427.5,6,428.5,159533,543193
"52",2015-07-01,420,426.5,412,424,0.5,422.5,246476,539893
"53",2015-06-30,391.5,422,390.5,420,30,422,291072,532963
"54",2015-06-29,390.5,399.5,390.5,391.5,0.5,392,216468,528115
"55",2015-06-26,382.25,397,382,392,9.75,392.5,249083,526274
"56",2015-06-25,371,383.25,368.5,382.5,11.25,382.75,164723,520379
"57",2015-06-24,371.5,376,368.25,370,0.5,371.5,145881,513379
"58",2015-06-23,365,373.25,365,372,7.75,372,142600,503948
"59",2015-06-22,358,364.75,355.5,364.25,5.5,364.25,110868,492431
"60",2015-06-19,363,363.5,357.25,359,4.75,358.75,83863,487049
"61",2015-06-18,365.25,367,362.5,363.5,1.75,363.5,112345,483013
"62",2015-06-17,359.75,367,359.75,365.25,5.5,365.25,108015,481370
"63",2015-06-16,353,360,352,359.25,7,359.75,159320,471326
"64",2015-06-15,358.5,358.75,352,352.75,6,352.75,166236,452813
"65",2015-06-12,363,363,358,358.5,4.25,358.75,142549,438548
"66",2015-06-11,364,366.5,361.25,363,1.25,363,163613,393862
"67",2015-06-10,372,373.75,363.75,364.25,8.25,364.25,199914,354387
"68",2015-06-09,372.25,375.75,370,372,0.25,372.5,112949,322006
"69",2015-06-08,367.5,373.5,367.5,371.25,5.25,372.75,85431,295903
"70",2015-06-05,369.75,373.75,366.75,367.5,2.75,367.5,72097,274085
"71",2015-06-04,365.5,371,363.5,370.25,4.5,370.25,45105,271513
"72",2015-06-03,365,370.25,363.75,366,0.5,365.75,62766,265662
"73",2015-06-02,358,365.75,358,364.75,7,365.25,53878,254749
"74",2015-06-01,356.25,360,354,359.25,1,358.25,47333,243270
"75",2015-05-29,359.25,363,356,357.5,2.25,357.25,40750,236473
"76",2015-05-28,355.75,361,354.5,359,3.75,359.5,57521,226700
"77",2015-05-27,361.75,363.25,355,355.5,6.25,355.75,57634,223486
"78",2015-05-26,367.25,369,361,362.25,4.75,362,47549,213421
"79",2015-05-22,370.25,374,366.25,366.5,4.75,366.75,56646,207468
"80",2015-05-21,366.5,372.75,366.5,371.25,4.75,371.5,57091,206808
"81",2015-05-20,369,369.5,365.25,366.75,2.5,366.75,54991,206655
"82",2015-05-19,374.5,375.5,367.25,368.75,6,369.25,70478,204997
"83",2015-05-18,372.5,378.25,371,375,2.75,375.25,48655,199466
"84",2015-05-15,374.25,378,369,372,2,372.5,55777,197492
"85",2015-05-14,367.75,375,367.5,374.75,6.25,374.5,66385,198809
"86",2015-05-13,366,369.25,363,368,2.25,368.25,85727,197387
"87",2015-05-12,364.5,370.5,362.5,366,0.5,366,54525,193871
"88",2015-05-11,368.5,370.25,364.25,365.25,3,365.5,29054,192965
"89",2015-05-08,366.5,370,365,368.5,1.25,368.5,48089,191604
"90",2015-05-07,372.75,373,366.5,368.25,5.5,367.25,61157,187547
"91",2015-05-06,369.5,375,369,371,3.75,372.75,46617,190982
"92",2015-05-05,366.5,369.25,362.25,368.5,1.25,369,36253,189225
"93",2015-05-04,369.25,369.75,366.5,367.25,2,367.75,33338,189777
"94",2015-05-01,372.75,373,367.5,368,3,369.75,32841,186746
"95",2015-04-30,374.75,377,370.75,371.5,2,372.75,65868,192309
"96",2015-04-29,371.75,375.5,370.5,374.75,3,374.75,39349,196077
"97",2015-04-28,372,374.5,370,372,0.75,371.75,49209,189729
"98",2015-04-27,377,377.5,372,372.5,5,372.5,55592,185310
"99",2015-04-24,384.25,384.75,376.75,376.75,6.75,377.5,48242,183080
"100",2015-04-23,387.5,392,384.25,NA,3.25,384.25,47742,183023
"101",2015-04-22,387.5,388.5,383.75,NA,0.25,387.5,34688,178389
"102",2015-04-21,391.5,391.5,385.5,386.75,4.25,387.75,33562,175151
"103",2015-04-20,393.75,395.5,389.75,392.5,2,392,20170,173939
"104",2015-04-17,390.5,394.75,389,NA,3.25,394,21337,172108
"105",2015-04-16,390.75,392.25,387.75,388.75,NA,390.75,17548,172774
"106",2015-04-15,388,393.5,386,391,2,390.75,41510,171653
"107",2015-04-14,386.25,389.75,385.5,NA,3,388.75,33946,167886
"108",2015-04-13,390.75,391.25,385.5,NA,6.75,385.75,33623,162681
"109",2015-04-10,394,395,390,NA,1,392.5,46324,156622
"110",2015-04-09,395,395.75,390.75,393.25,1.5,393.5,43709,155118
"111",2015-04-08,398.75,401,392.25,393.5,3.75,395,36598,154161
"112",2015-04-07,400.5,402.75,397.75,398.25,1.75,398.75,13849,150490
"113",2015-04-06,401.5,405,398.75,400.75,1.25,400.5,12186,150514
"114",2015-04-02,397.5,403.75,394,402,4,401.75,24625,147689
"115",2015-04-01,392.5,397.75,389.5,397.5,5.75,397.75,32194,142792
"116",2015-03-31,409.5,413.25,391,394,18,392,44297,140206
"117",2015-03-30,406.5,410.25,405.5,NA,3.5,410,20637,137085
"118",2015-03-27,406.5,408.25,404.5,NA,0.25,406.5,15503,133650
