"","Date","Open","High","Low","Last","Change","Settle","Volume","Open Interest"
"1",2012-12-14,713.75,718.75,713.75,NA,NA,718.75,904,683
"2",2012-12-13,712.25,712.25,712.25,NA,NA,712.25,2295,2147
"3",2012-12-12,724.75,724.75,719.5,NA,NA,721,2537,2147
"4",2012-12-11,728.5,728.5,720.75,NA,NA,724.25,3638,3912
"5",2012-12-10,721.5,728,721.5,NA,NA,726.75,4288,6093
"6",2012-12-07,742,742,732,NA,NA,732.75,5237,8293
"7",2012-12-06,748.5,748.5,746,NA,NA,747.75,3564,10750
"8",2012-12-05,752.5,753.5,752.5,NA,NA,753.25,8705,12207
"9",2012-12-04,744.75,747,742,NA,NA,746.5,9332,15457
"10",2012-12-03,757,757.25,745,NA,NA,749,12427,18976
"11",2012-11-30,751.5,752.5,742.75,NA,NA,748,45005,22644
"12",2012-11-29,758.75,759,751,NA,NA,751.5,126561,36587
"13",2012-11-28,757,762.75,757,NA,NA,760.25,109494,74880
"14",2012-11-27,749.75,760.25,749.75,NA,NA,760,141156,107356
"15",2012-11-26,748,752.25,746,NA,NA,747.25,132428,158313
"16",2012-11-23,747,748.5,744,NA,NA,745.5,61943,204390
"17",2012-11-21,744.5,744.75,738.5,NA,NA,741,107445,225347
"18",2012-11-20,736.5,747,736,NA,NA,743.25,142316,259809
"19",2012-11-19,732,741,732,NA,NA,738.75,157875,259809
"20",2012-11-16,712.5,729.5,712,NA,NA,727,163952,271117
"21",2012-11-15,724,725.5,720.75,NA,NA,721.25,112862,294710
"22",2012-11-14,724,729,721.5,NA,NA,725.75,149938,307484
"23",2012-11-13,722.5,724.5,710.5,NA,NA,723.5,233549,329208
"24",2012-11-12,729.5,730,713,NA,NA,718,264576,354925
"25",2012-11-09,743.25,754,736,NA,NA,738.75,261362,382832
"26",2012-11-08,743,746.5,740.5,NA,NA,741.25,155635,394166
"27",2012-11-07,736,749.25,735.5,NA,NA,744.25,178412,417411
"28",2012-11-06,738.75,741.25,737,NA,NA,741,117509,438093
"29",2012-11-05,742.5,744.25,733.25,NA,NA,735.5,122875,453547
"30",2012-11-02,743,744.5,737,NA,NA,739.5,176390,467132
"31",2012-11-01,758,761.25,750.5,NA,NA,751,163166,488109
"32",2012-10-31,745,757.5,744.75,NA,NA,755.75,180007,493577
"33",2012-10-30,742.5,743.5,739,NA,NA,741.75,92604,520106
"34",2012-10-29,740.25,741.5,734.25,NA,NA,737,87588,499864
"35",2012-10-26,744.25,744.5,737,NA,NA,737.75,112570,541299
"36",2012-10-25,753,753.25,741,NA,NA,742,148002,541299
"37",2012-10-24,760.5,763.25,752.75,NA,NA,754.5,158336,557376
"38",2012-10-23,753,757,750,NA,NA,756,131401,571846
"39",2012-10-22,764.75,765.25,760.5,NA,NA,761.25,81693,572263
"40",2012-10-19,764.5,769,759.5,NA,NA,761.5,139689,577086
"41",2012-10-18,752,761.75,751.25,NA,NA,760.75,142980,577531
"42",2012-10-17,741.75,746,739,NA,NA,745.5,82264,570901
"43",2012-10-16,743.75,744,735,NA,NA,738.25,108057,573643
"44",2012-10-15,742.75,744.75,735,NA,NA,737.25,124296,573228
"45",2012-10-12,767,767.5,750.75,NA,NA,752.75,150959,583482
"46",2012-10-11,737,776,737,NA,NA,773.25,254338,597208
"47",2012-10-10,739,742.25,733.75,NA,NA,736.75,118120,575921
"48",2012-10-09,748.25,748.5,741.25,NA,NA,742,95426,580112
"49",2012-10-08,743,747,740.5,NA,NA,742,94260,589083
"50",2012-10-05,752.5,753.75,746,NA,NA,748,109691,596124
"51",2012-10-04,764.75,764.75,755.5,NA,NA,757,119215,603507
"52",2012-10-03,753,763.5,751,NA,NA,756.75,173885,612587
"53",2012-10-02,753.5,759.5,752.5,NA,NA,758.25,134586,616759
"54",2012-10-01,763.5,763.5,751.5,NA,NA,756.75,171593,624495
"55",2012-09-28,712.5,756.25,710,NA,NA,756.25,221629,631901
"56",2012-09-27,718.25,721,711.5,NA,NA,716.25,165564,625286
"57",2012-09-26,731.5,732.25,723,NA,NA,724.75,167685,624558
"58",2012-09-25,745.5,746,739.5,NA,NA,743.75,89941,633136
"59",2012-09-24,743,745.75,736.75,NA,NA,744.75,120427,634442
"60",2012-09-21,752,752.5,745,NA,NA,748.25,128709,640943
"61",2012-09-20,747.25,754.75,739.5,NA,NA,746,159881,648157
"62",2012-09-19,746.5,758.25,743.75,NA,NA,756.5,143517,653510
"63",2012-09-18,750,753.5,739,NA,NA,740,173449,654773
"64",2012-09-17,763.5,765,747,NA,NA,748,161980,666825
"65",2012-09-14,784,789,778,NA,NA,782,142441,675659
"66",2012-09-13,770.5,775,769,NA,NA,773.75,108702,680137
"67",2012-09-12,774.5,776,760,NA,NA,769.5,242011,682776
"68",2012-09-11,785.5,787,776,NA,NA,777.75,148569,683931
"69",2012-09-10,802,803,782.25,NA,NA,783.25,180925,697483
"70",2012-09-07,794,804,788.5,NA,NA,799.5,108864,700790
"71",2012-09-06,795,801.5,788.25,NA,NA,798.5,127404,700842
"72",2012-09-05,798,798.25,789.75,NA,NA,790.75,132816,706511
"73",2012-09-04,806.75,814.75,797.5,NA,NA,805,150977,713347
