"","Date","Open","High","Low","Last","Change","Settle","Volume","Prev. Day Open Interest"
"1",2015-12-14,373.5,381.75,373.5,381,8.75,381.75,903,816
"2",2015-12-11,377,378.75,372.75,373.25,4.25,373,2028,2474
"3",2015-12-10,372.5,379.25,371.75,377,5.5,377.25,2543,4444
"4",2015-12-09,370.75,376.75,368.5,372.25,1.75,371.75,3217,6411
"5",2015-12-08,369,371,367.25,370.25,1.5,370,2947,7935
"6",2015-12-07,375.75,376,368,368.25,7.75,368.5,3271,9503
"7",2015-12-04,370,376.5,369.75,376,6,376.25,4819,11442
"8",2015-12-03,363.75,371.25,361.25,369.5,6.25,370.25,11024,15879
"9",2015-12-02,367,367,363.5,367,3,364,4274,18089
"10",2015-12-01,365.25,368.75,364.5,367.5,2,367,9512,21434
"11",2015-11-30,359.75,366,359.25,366,5.75,365,31892,33153
"12",2015-11-27,365.25,365.75,358.75,359.5,6.75,359.25,69852,63539
"13",2015-11-25,364.25,366.5,364,365,1.75,366,126550,120790
"14",2015-11-24,367,367.25,364,365,3,364.25,137095,179411
"15",2015-11-23,362.5,367.5,360,369,4,367.25,149963,229126
"16",2015-11-20,363.5,366.5,362,363,1,363.25,337893,284375
"17",2015-11-19,361.75,365.5,360.25,363,2.5,364.25,152262,313903
"18",2015-11-18,362,364.25,358.5,361.5,0.25,361.75,218583,342656
"19",2015-11-17,360,362.5,358.25,362,2,362,169656,372830
"20",2015-11-16,358.25,360.75,357.25,360,1.75,360,121073,391571
"21",2015-11-13,361.5,362.25,358,358.25,3.75,358.25,153132,413097
"22",2015-11-12,361.75,363.5,359.25,361.25,0.25,362,238919,449695
"23",2015-11-11,360.5,363.5,359.5,362.25,3.25,362.25,247137,479245
"24",2015-11-10,367,367.75,356,360.25,7.75,359,406435,504938
"25",2015-11-09,372.75,375.5,366.5,367.75,6.25,366.75,538170,550478
"26",2015-11-06,374.75,375.25,370,373,1.5,373,198884,571498
"27",2015-11-05,379.5,379.75,373.75,374,6,374.5,224226,586275
"28",2015-11-04,379.5,383.5,376.5,380,NA,380.5,221777,605691
"29",2015-11-03,376.5,382.25,375.75,379.5,4,380.5,233026,628961
"30",2015-11-02,381.25,381.75,376,376.5,5.75,376.5,157832,632271
"31",2015-10-30,379.75,383.75,378.75,382,2.25,382.25,135612,634218
"32",2015-10-29,376,380.5,375.5,380,4,380,132993,638374
"33",2015-10-28,379.75,380.75,375.75,376.75,4,376,139284,639249
"34",2015-10-27,384,387.5,379,379.5,4.5,380,194327,649433
"35",2015-10-26,380,385.75,378,384.75,4.75,384.5,183706,651394
"36",2015-10-23,377.75,380,375,380,1.5,379.75,159642,661449
"37",2015-10-22,380.25,383.5,377.5,378,2.5,378.25,119373,672270
"38",2015-10-21,377,381,375.5,380.25,4,380.75,195223,697602
"39",2015-10-20,372.75,377.75,372,377,3.75,376.75,154070,697787
"40",2015-10-19,377.25,377.5,372.5,373,3.75,373,107591,696102
"41",2015-10-16,375.5,378,372.5,377.25,1.25,376.75,130516,699199
"42",2015-10-15,378.75,379.5,375,375.5,3.5,375.5,113947,702261
"43",2015-10-14,384.5,386.75,378.5,378.5,5.5,379,127521,705798
"44",2015-10-13,381,384.75,379,384.25,3.75,384.5,134285,706026
"45",2015-10-12,381.5,385.25,380.25,380.75,2,380.75,123792,705129
"46",2015-10-09,391,394.25,381.5,382.25,8.5,382.75,252355,725633
"47",2015-10-08,394.75,395.75,390.5,391.75,4.5,391.25,118254,735372
"48",2015-10-07,397.5,399.75,393.75,395,2.5,395.75,136004,741432
"49",2015-10-06,392.75,399,391.75,397.5,4.75,398.25,179472,737706
"50",2015-10-05,389.25,394,388.75,393.75,4.25,393.5,103726,742416
"51",2015-10-02,388,391.5,384,389,0.5,389.25,151911,745070
"52",2015-10-01,387.75,393,385,388.5,1,388.75,122877,744993
"53",2015-09-30,389,394.5,383.5,388.75,1.25,387.75,252532,746191
