REGIÃO/UF,ÁREA (Em mil ha),,,,,PRODUTIVIDADE (Em kg/ha),,,PRODUÇÃO (Em mil t),,,,
,(a),Lim Inf (b),Lim Sup (c),(b/a),(c/a),(d),(e),(e/d),(f),Lim Inf (g),Lim Sup (h),(g/f),(h/f)
NORTE,"1.809,0","1.834,0","1.912,2","1,4","5,7",3.061,2.955,"(3,4)","5.536,4","5.420,4","5.650,5","(2,1)","2,1"
RR,"30,0","30,0","30,0",-,-,3,3.077,"2,6","90,0","92,3","92,3","2,6","2,6"
RO,"296,0","296,0","304,9",-,"3,0",3.143,3.153,"0,3","930,3","933,3","961,3","0,3","3,3"
AP,"18,9","18,9","18,9",-,-,2.878,2.8,"(2,7)","54,4","52,9","52,9","(2,8)","(2,8)"
PA,"500,1","525,1","550,1","5,0","10,0",3.27,2.987,"(8,7)","1.635,3","1.568,5","1.643,1","(4,1)","0,5"
TO,"964,0","964,0","1.008,3",-,"4,6",2.932,2.877,"(1,9)","2.826,4","2.773,4","2.900,9","(1,9)","2,6"
NORDESTE,"3.095,8","3.180,7","3.293,3","2,7","6,4",3.115,2.827,"(9,3)","9.644,7","8.988,7","9.312,7","(6,8)","(3,4)"
MA,"821,7","838,1","854,6","2,0","4,0",3.01,2.846,"(5,4)","2.473,3","2.385,2","2.432,2","(3,6)","(1,7)"
PI,"693,8","700,7","714,6","1,0","3,0",2.952,2.528,"(14,4)","2.048,1","1.771,4","1.806,5","(13,5)","(11,8)"
BA,"1.580,3","1.641,9","1.724,1","3,9","9,1",3.242,2.943,"(9,2)","5.123,3","4.832,1","5.074,0","(5,7)","(1,0)"
"CENTRO-OESTE","15.193,6","15.341,0","15.656,2","1,0","3,0",3.301,3.055,"(7,4)","50.149,9","46.868,5","47.830,9","(6,5)","(4,6)"
MT,"9.322,8","9.416,0","9.602,5","1,0","3,0",3.273,3.067,"(6,3)","30.513,5","28.878,9","29.450,9","(5,4)","(3,5)"
MS,"2.522,3","2.560,1","2.623,2","1,5","4,0",3.4,3.009,"(11,5)","8.575,8","7.703,3","7.893,2","(10,2)","(8,0)"
GO,"3.278,5","3.294,9","3.360,5","0,5","2,5",3.3,3.056,"(7,4)","10.819,1","10.069,2","10.269,7","(6,9)","(5,1)"
DF,"70,0","70,0","70,0",-,-,3.45,3.102,"(10,1)","241,5","217,1","217,1","(10,1)","(10,1)"
SUDESTE,"2.351,4","2.387,2","2.492,5","1,5","6,0",3.467,3.113,"(10,2)","8.151,5","7.431,8","7.760,5","(8,8)","(4,8)"
MG,"1.456,1","1.456,1","1.543,5",-,"6,0",3.48,3.128,"(10,1)","5.067,2","4.554,7","4.828,1","(10,1)","(4,7)"
SP,"895,3","931,1","949,0","4,0","6,0",3.445,3.09,"(10,3)","3.084,3","2.877,1","2.932,4","(6,7)","(4,9)"
SUL,"11.459,6","11.723,5","11.854,1","2,3","3,4",3.542,3.181,"(10,2)","40.592,8","37.298,4","37.702,9","(8,1)","(7,1)"
PR,"5.249,6","5.438,6","5.438,6","3,6","3,6",3.731,3.284,"(12,0)","19.586,3","17.860,4","17.860,4","(8,8)","(8,8)"
SC,"640,4","659,6","678,8","3,0","6,0",3.58,3.185,"(11,0)","2.292,6","2.100,8","2.162,0","(8,4)","(5,7)"
RS,"5.569,6","5.625,3","5.736,7","1,0","3,0",3.36,3.082,"(8,3)","18.713,9","17.337,2","17.680,5","(7,4)","(5,5)"
"NORTE/NORDESTE","4.904,8","5.014,7","5.205,5","2,2","6,1",3.095,2.874,"(7,1)","15.181,1","14.409,1","14.963,2","(5,1)","(1,4)"
"CENTRO-SUL","29.004,6","29.451,7","30.002,8","1,5","3,4",3.41,3.11,"(8,8)","98.894,2","91.598,7","93.294,3","(7,4)","(5,7)"
BRASIL,"33.909,4","34.466,4","35.208,3","1,6","3,8",3.364,3.075,"(8,6)","114.075,3","106.007,8","108.257,5","(7,1)","(5,1)"
