CORN,Final_2013/14,Est_2014/15,Proj_2015\16,Proj_2015/16
**Million Acres**,,,Aug,Sep
Area Planted,95.4,90.6,88.9,88.9
Area Harvested,87.5,83.1,81.1,81.1
**Bushels**,,,,
Yield per Harvested Acre,158.1,171,168.8,167.5
**Million Bushels**,,,,
Beginning Stocks,821,1232,1772,1732
Production,13829,14216,13686,13585
Imports,36,30,30,30
"    **Supply, Total**",**14686**,**15477**,**15488**,**15347**
Feed and Residual,5041,5300,5300,5275
"Food, Seed & Industrial",6493,6570,6625,6630
   Ethanol & by-products ,5124,5205,5250,5250
"    Domestic, Total",11534,11870,11925,11905
Exports,1920,1875,1850,1850
"   **Use, Total**",**13454**,**13745**,**13775**,**13755**
Ending Stocks,1232,1732,1713,1592
**Avg. Farm Price ($/bu)**,**4.46**,**3.68**,**3.35 - 3.95**,**3.45 - 4.05**
