symbol,timestamp,tradingDay,open,high,low,close,volume
"ZCk11","2011-03-31T00:00:00-05:00","2011-03-31","662.5","663","662.5","663","27"
"ZCk11","2011-03-31T00:15:00-05:00","2011-03-31","662.75","662.75","662.5","662.5","5"
"ZCk11","2011-03-31T00:30:00-05:00","2011-03-31","662.5","662.75","662.25","662.75","134"
"ZCk11","2011-03-31T00:45:00-05:00","2011-03-31","662.75","662.75","662.25","662.25","20"
"ZCk11","2011-03-31T01:00:00-05:00","2011-03-31","662.5","662.5","662.25","662.5","37"
"ZCk11","2011-03-31T01:15:00-05:00","2011-03-31","662.5","663.25","662.25","663.25","56"
"ZCk11","2011-03-31T01:30:00-05:00","2011-03-31","663.25","664","662.5","664","44"
"ZCk11","2011-03-31T01:45:00-05:00","2011-03-31","664","664.75","663.25","664.5","96"
"ZCk11","2011-03-31T02:00:00-05:00","2011-03-31","664.75","665","664","664","201"
"ZCk11","2011-03-31T02:15:00-05:00","2011-03-31","664.75","664.75","663","663.75","145"
"ZCk11","2011-03-31T02:30:00-05:00","2011-03-31","663.75","664","663.75","664","156"
"ZCk11","2011-03-31T02:45:00-05:00","2011-03-31","663.75","664","663.5","663.5","28"
"ZCk11","2011-03-31T03:00:00-05:00","2011-03-31","663.5","664","663.5","663.75","61"
"ZCk11","2011-03-31T03:15:00-05:00","2011-03-31","663.75","664","663.5","663.75","141"
"ZCk11","2011-03-31T03:30:00-05:00","2011-03-31","663.75","664.75","663.75","664.5","57"
"ZCk11","2011-03-31T03:45:00-05:00","2011-03-31","664.5","665","664","665","195"
"ZCk11","2011-03-31T04:00:00-05:00","2011-03-31","665","665.25","664.25","664.5","117"
"ZCk11","2011-03-31T04:15:00-05:00","2011-03-31","664.75","664.75","663.5","663.75","102"
"ZCk11","2011-03-31T04:30:00-05:00","2011-03-31","663.75","663.75","663","663","199"
"ZCk11","2011-03-31T04:45:00-05:00","2011-03-31","663","663","662.25","662.75","200"
"ZCk11","2011-03-31T05:00:00-05:00","2011-03-31","663","663.5","662.5","662.5","95"
"ZCk11","2011-03-31T05:15:00-05:00","2011-03-31","662.5","662.75","662.25","662.25","324"
"ZCk11","2011-03-31T05:30:00-05:00","2011-03-31","662.25","662.5","661.25","661.5","245"
"ZCk11","2011-03-31T05:45:00-05:00","2011-03-31","661.25","662.75","661.25","661.5","196"
"ZCk11","2011-03-31T06:00:00-05:00","2011-03-31","661.5","662.25","660.75","661.5","360"
"ZCk11","2011-03-31T06:15:00-05:00","2011-03-31","661.75","662.25","660.75","660.75","246"
"ZCk11","2011-03-31T06:30:00-05:00","2011-03-31","660.75","661.25","660.25","660.25","263"
"ZCk11","2011-03-31T06:45:00-05:00","2011-03-31","660.75","661.5","660.25","661.5","316"
"ZCk11","2011-03-31T07:00:00-05:00","2011-03-31","661.5","662","659.25","659.5","1179"
"ZCk11","2011-03-31T09:30:00-05:00","2011-03-31","693.25","693.25","693.25","693.25","1444"
