symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"Zcz17","2016-08-01T00:00:00-05:00","2016-08-01","370","372","366","366.5","4322","48496"
"Zcz17","2016-08-02T00:00:00-05:00","2016-08-02","366.5","370.25","365","370","8218","49274"
"Zcz17","2016-08-03T00:00:00-05:00","2016-08-03","370","374.5","369.25","372.5","6281","49758"
"Zcz17","2016-08-04T00:00:00-05:00","2016-08-04","372.5","373.25","369","370","5882","50030"
"Zcz17","2016-08-05T00:00:00-05:00","2016-08-05","369.75","372.25","368.75","372.25","6150","51493"
"Zcz17","2016-08-08T00:00:00-05:00","2016-08-08","372","373.25","369.25","373","4280","52125"
"Zcz17","2016-08-09T00:00:00-05:00","2016-08-09","373","373.25","370.25","371.25","4722","52040"
"Zcz17","2016-08-10T00:00:00-05:00","2016-08-10","371.25","374.25","371","372.25","4043","52221"
"Zcz17","2016-08-11T00:00:00-05:00","2016-08-11","372.25","373","371","372.25","4773","53584"
"Zcz17","2016-08-12T00:00:00-05:00","2016-08-12","371.5","374.25","364","373.75","13163","56391"
"Zcz17","2016-08-15T00:00:00-05:00","2016-08-15","373","378","372","376","4461","56119"
"Zcz17","2016-08-16T00:00:00-05:00","2016-08-16","376.25","378","373.75","375.75","2822","56352"
"Zcz17","2016-08-17T00:00:00-05:00","2016-08-17","374.75","378.75","374.25","378.5","3074","56265"
"Zcz17","2016-08-18T00:00:00-05:00","2016-08-18","378","381.75","375.75","381.25","3363","56435"
"Zcz17","2016-08-19T00:00:00-05:00","2016-08-19","381.25","383","379.5","382.5","2117","55955"
"Zcz17","2016-08-22T00:00:00-05:00","2016-08-22","381.75","382.5","379.25","381","1866","56107"
"Zcz17","2016-08-23T00:00:00-05:00","2016-08-23","380.75","381","375","377.25","4439","55901"
"Zcz17","2016-08-24T00:00:00-05:00","2016-08-24","377.25","379.25","374.75","376","4561","56953"
"Zcz17","2016-08-25T00:00:00-05:00","2016-08-25","376","377.25","372","373","4201","57249"
"Zcz17","2016-08-26T00:00:00-05:00","2016-08-26","373.25","374.25","366.25","366.75","5305","57942"
"Zcz17","2016-08-29T00:00:00-05:00","2016-08-29","366.5","369.5","362.75","363.75","6351","59519"
"Zcz17","2016-08-30T00:00:00-05:00","2016-08-30","363.75","364","359.25","359.75","9091","62306"
"Zcz17","2016-08-31T00:00:00-05:00","2016-08-31","360","362","358.5","359.5","12142","65939"
"Zcz17","2016-09-01T00:00:00-05:00","2016-09-01","359.5","368","359.25","366.25","6049","66825"
"Zcz17","2016-09-02T00:00:00-05:00","2016-09-02","366","370.75","365.75","369.75","6959","67983"
"Zcz17","2016-09-06T00:00:00-05:00","2016-09-06","369","371.5","365.5","371","4712","69155"
"Zcz17","2016-09-07T00:00:00-05:00","2016-09-07","369.75","375","369","374.5","6075","70600"
"Zcz17","2016-09-08T00:00:00-05:00","2016-09-08","374.75","379.25","374","379.25","5828","70903"
"Zcz17","2016-09-09T00:00:00-05:00","2016-09-09","378.5","381.5","375","381.25","6350","71343"
"Zcz17","2016-09-12T00:00:00-05:00","2016-09-12","380.5","383","376.5","380.75","8104","70223"
"Zcz17","2016-09-13T00:00:00-05:00","2016-09-13","380","381.75","371.5","372","4792","70535"
"Zcz17","2016-09-14T00:00:00-05:00","2016-09-14","372","373.5","368.25","373.25","5436","70297"
"Zcz17","2016-09-15T00:00:00-05:00","2016-09-15","373","375.5","369.25","370.75","4935","70512"
"Zcz17","2016-09-16T00:00:00-05:00","2016-09-16","370.25","378","368.75","376.75","9528","70393"
"Zcz17","2016-09-19T00:00:00-05:00","2016-09-19","376.5","379.75","372.75","377.5","7333","70699"
"Zcz17","2016-09-20T00:00:00-05:00","2016-09-20","376.5","381.75","375.75","380.25","2788","70797"
"Zcz17","2016-09-21T00:00:00-05:00","2016-09-21","379.25","380","378","379.5","2145","70894"
"Zcz17","2016-09-22T00:00:00-05:00","2016-09-22","379.25","380.75","374.75","376.5","6086","72119"
"Zcz17","2016-09-23T00:00:00-05:00","2016-09-23","376.25","378.5","373.5","375.75","4944","72482"
"Zcz17","2016-09-26T00:00:00-05:00","2016-09-26","373.5","375.5","368.75","369.5","4351","73456"
"Zcz17","2016-09-27T00:00:00-05:00","2016-09-27","368.5","372.5","367.75","372","4495","73702"
"Zcz17","2016-09-28T00:00:00-05:00","2016-09-28","372","372.5","369.25","369.25","4090","74178"
"Zcz17","2016-09-29T00:00:00-05:00","2016-09-29","369.5","373.25","368.25","368.75","3702","74044"
"Zcz17","2016-09-30T00:00:00-05:00","2016-09-30","369","377.5","365.75","376.5","10039","74489"
"Zcz17","2016-10-03T00:00:00-05:00","2016-10-03","375.75","386","374.5","384.25","8423","75426"
"Zcz17","2016-10-04T00:00:00-05:00","2016-10-04","383.25","387","382.25","387","6259","75368"
"Zcz17","2016-10-05T00:00:00-05:00","2016-10-05","385.75","387.75","384","386.5","6567","75942"
"Zcz17","2016-10-06T00:00:00-05:00","2016-10-06","385.75","387","378.25","380","8054","76700"
"Zcz17","2016-10-07T00:00:00-05:00","2016-10-07","380","384","379","379.5","2989","76583"
"Zcz17","2016-10-10T00:00:00-05:00","2016-10-10","379.25","383.75","379","383","3614","77091"
"Zcz17","2016-10-11T00:00:00-05:00","2016-10-11","382.5","385.75","381","384.25","5115","76585"
"Zcz17","2016-10-12T00:00:00-05:00","2016-10-12","383","387.25","377","377.25","10898","77242"
