symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"Zsx17","2016-08-01T00:00:00-05:00","2016-08-01","926.5","935.25","909.5","912.75","2916","31023"
"Zsx17","2016-08-02T00:00:00-05:00","2016-08-02","907.75","920.25","903.5","911.25","3072","31267"
"Zsx17","2016-08-03T00:00:00-05:00","2016-08-03","914","921.25","912.75","915.5","3010","31870"
"Zsx17","2016-08-04T00:00:00-05:00","2016-08-04","915.75","923","910.5","916.25","2201","32112"
"Zsx17","2016-08-05T00:00:00-05:00","2016-08-05","916.25","931.25","916.25","925.75","2522","31907"
"Zsx17","2016-08-08T00:00:00-05:00","2016-08-08","931.5","936.75","923.25","930.25","1450","32056"
"Zsx17","2016-08-09T00:00:00-05:00","2016-08-09","930.25","937.5","924.25","929.75","2781","31319"
"Zsx17","2016-08-10T00:00:00-05:00","2016-08-10","934","938.75","926.5","928.5","2100","31149"
"Zsx17","2016-08-11T00:00:00-05:00","2016-08-11","930","934.75","928","932","1076","31258"
"Zsx17","2016-08-12T00:00:00-05:00","2016-08-12","934","941","919.75","931","6404","31253"
"Zsx17","2016-08-15T00:00:00-05:00","2016-08-15","931.25","951","931.25","944","6236","29478"
"Zsx17","2016-08-16T00:00:00-05:00","2016-08-16","943","947","936.75","937.75","5286","28075"
"Zsx17","2016-08-17T00:00:00-05:00","2016-08-17","937.5","946.75","932","944.75","3057","27610"
"Zsx17","2016-08-18T00:00:00-05:00","2016-08-18","944.75","950.75","934.75","947.25","3165","27828"
"Zsx17","2016-08-19T00:00:00-05:00","2016-08-19","949.25","949.25","937.25","946.25","2764","27312"
"Zsx17","2016-08-22T00:00:00-05:00","2016-08-22","942.5","956.5","942.5","955.75","4072","26905"
"Zsx17","2016-08-23T00:00:00-05:00","2016-08-23","956.25","956.75","949.75","953.75","1680","27034"
"Zsx17","2016-08-24T00:00:00-05:00","2016-08-24","953.75","954.5","941.75","948.75","2821","27120"
"Zsx17","2016-08-25T00:00:00-05:00","2016-08-25","946.75","950.5","930.5","931.5","6269","26986"
"Zsx17","2016-08-26T00:00:00-05:00","2016-08-26","930.25","938","926.75","932.5","3930","26079"
"Zsx17","2016-08-29T00:00:00-05:00","2016-08-29","932.5","937.25","927","932","1574","25748"
"Zsx17","2016-08-30T00:00:00-05:00","2016-08-30","933.25","935.5","918","922.5","4050","25728"
"Zsx17","2016-08-31T00:00:00-05:00","2016-08-31","923","925.75","912","917","3554","26364"
"Zsx17","2016-09-01T00:00:00-05:00","2016-09-01","916.5","922","913","920.25","2757","26524"
"Zsx17","2016-09-02T00:00:00-05:00","2016-09-02","921.75","929.25","921.5","927.25","1456","26724"
"Zsx17","2016-09-06T00:00:00-05:00","2016-09-06","929.5","935","924","932","1769","26807"
"Zsx17","2016-09-07T00:00:00-05:00","2016-09-07","931","943.75","930.5","940.5","2674","27280"
"Zsx17","2016-09-08T00:00:00-05:00","2016-09-08","940.25","946","936.75","943.5","1925","27413"
"Zsx17","2016-09-09T00:00:00-05:00","2016-09-09","942.25","949.5","939","947.75","1465","27640"
"Zsx17","2016-09-12T00:00:00-05:00","2016-09-12","947","955","934.75","942.25","3544","27495"
"Zsx17","2016-09-13T00:00:00-05:00","2016-09-13","941.5","948","930","930.75","4164","27792"
"Zsx17","2016-09-14T00:00:00-05:00","2016-09-14","930.75","935","929.25","930.75","2609","27767"
"Zsx17","2016-09-15T00:00:00-05:00","2016-09-15","932.5","941.5","929.5","939","2329","27588"
"Zsx17","2016-09-16T00:00:00-05:00","2016-09-16","939","955","934.75","952.75","3335","27801"
"Zsx17","2016-09-19T00:00:00-05:00","2016-09-19","957","965","953.25","959.75","3068","28123"
"Zsx17","2016-09-20T00:00:00-05:00","2016-09-20","959.25","976","959","973","3678","28844"
"Zsx17","2016-09-21T00:00:00-05:00","2016-09-21","971.25","973.25","959.5","964.5","5997","28730"
"Zsx17","2016-09-22T00:00:00-05:00","2016-09-22","963.25","971","959.75","964.5","2617","28839"
