CORN,2013_14,2014_15 Est.,2015_16  Jul Proj,2015_16 Aug Proj
Million Acres,,,,
Area Planted,95.4,90.6,88.9 *,88.9
Area Harvested,87.5,83.1,81.1 *,81.1
Bushels,,,,
Yield per Harvested Acre,158.1,171,166.8 *,168.8
Million Bushels,,,,
Beginning Stocks,821,1232,1779,1772
Production,13829,14216,13530,13686
Imports,36,30,25,30
"    Supply, Total",14686,15477,15334,15488
Feed and Residual,5030,5300,5275,5300
"Food, Seed & Industrial 2/",6503,6555,6585,6625
   Ethanol & by-products 3/,5134,5200,5225,5250
"    Domestic, Total",11534,11855,11860,11925
Exports,1920,1850,1875,1850
"    Use, Total",13454,13705,13735,13775
Ending Stocks,1232,1772,1599,1713
Avg. Farm Price ($/bu)  4/,4.46,3.65 - 3.75,3.45 - 4.05,3.35 - 3.95
