Index,CrudeOil,ULSD,RBOB
1/4/2010,81.51,2.1905,2.1044
1/6/2010,83.18,2.2032,2.1366
1/7/2010,82.66,2.1836,2.1349
1/8/2010,82.75,2.2003,2.1553
1/11/2010,82.52,2.1801,2.1427
1/12/2010,80.79,2.1318,2.0978
1/13/2010,79.65,2.0946,2.0602
1/14/2010,79.39,2.0829,2.0738
1/15/2010,78,2.046,2.0454
1/19/2010,79.32,2.0454,2.0591
1/20/2010,77.74,2.0211,2.0465
1/21/2010,76.08,1.9975,1.9944
1/22/2010,74.54,1.953,1.9734
1/25/2010,75.26,1.975,2.0076
1/26/2010,74.71,1.9616,1.9767
1/27/2010,73.67,1.9267,1.9474
1/28/2010,73.64,1.929,1.9274
1/29/2010,72.89,1.913,1.9134
2/1/2010,74.43,1.9549,1.9321
2/2/2010,77.23,2.0317,2.0179
2/3/2010,76.98,2.0194,2.0362
2/4/2010,73.14,1.9352,1.9508
2/5/2010,71.19,1.8748,1.8864
2/8/2010,71.89,1.8855,1.894
2/9/2010,73.75,1.9373,1.929
2/10/2010,74.52,1.9469,1.929
2/11/2010,75.28,1.963,1.9357
2/12/2010,74.13,1.9189,1.9295
2/16/2010,77.01,1.9963,1.9882
2/17/2010,77.33,2.0067,2.0071
2/18/2010,79.06,2.0516,2.0692
2/19/2010,80.06,2.0699,2.0857
2/22/2010,80.31,2.0882,2.1158
2/24/2010,80,2.0539,2.2067
2/25/2010,78.17,1.9986,2.1477
2/26/2010,79.66,2.0353,2.1879
3/1/2010,78.7,2.0235,2.1556
3/2/2010,79.68,2.0561,2.1966
3/3/2010,80.87,2.0937,2.2476
3/4/2010,80.21,2.0687,2.2337
3/5/2010,81.5,2.0974,2.271
3/8/2010,81.87,2.1055,2.2892
3/9/2010,81.49,2.0898,2.2603
3/10/2010,82.09,2.1162,2.2851
3/11/2010,82.11,2.115,2.272
3/12/2010,81.24,2.094,2.255
3/15/2010,79.8,2.0576,2.2228
3/16/2010,81.7,2.1143,2.275
3/17/2010,82.93,2.1395,2.3097
3/18/2010,82.2,2.1191,2.3009
3/19/2010,80.97,2.0767,2.2556
3/22/2010,81.6,2.0979,2.2562
3/23/2010,81.91,2.1143,2.2625
3/24/2010,80.61,2.0835,2.2225
3/25/2010,80.53,2.0824,2.2199
3/26/2010,80,2.0813,2.2085
3/29/2010,82.17,2.1286,2.2627
3/30/2010,82.37,2.1316,2.2721
3/31/2010,83.76,2.179,2.3072
4/1/2010,88.3,2.2167,2.3237
4/5/2010,86.62,2.3199,2.3502
4/6/2010,86.84,2.2683,2.3483
4/7/2010,85.88,2.2439,2.3147
4/8/2010,85.39,2.2282,2.2983
4/9/2010,84.92,2.226,2.2893
4/12/2010,84.34,2.2189,2.2958
4/13/2010,84.05,2.2142,2.3093
4/14/2010,85.84,2.2421,2.3327
4/15/2010,85.51,2.2523,2.3262
4/16/2010,84.67,2.2169,2.277
4/19/2010,83.13,2.1568,2.2544
4/20/2010,83.85,2.2049,2.2938
4/21/2010,83.68,2.2297,2.2959
4/22/2010,83.7,2.2397,2.3103
4/23/2010,85.12,2.2747,2.3592
4/26/2010,84.2,2.2637,2.3453
4/27/2010,82.44,2.2551,2.3284
4/28/2010,83.22,2.2542,2.333
4/29/2010,85.17,2.2782,2.3568
4/30/2010,86.15,2.3157,2.3994
5/3/2010,86.19,2.3451,2.4351
5/4/2010,82.74,2.2595,2.3222
5/5/2010,79.97,2.1845,2.2204
5/6/2010,77.11,2.1137,2.1563
5/7/2010,75.11,2.0795,2.1251
5/10/2010,76.8,2.1202,2.1726
5/11/2010,76.37,2.1401,2.1952
5/12/2010,75.65,2.1591,2.2104
5/13/2010,74.4,2.1319,2.1951
5/14/2010,71.61,2.0606,2.1308
5/17/2010,70.08,1.9852,2.0431
5/18/2010,72.7,1.9615,2.0431
5/19/2010,72.48,1.9452,2.0152
5/20/2010,70.8,1.9162,1.9591
5/21/2010,70.04,1.9109,1.9528
5/24/2010,70.21,1.9136,1.9571
5/25/2010,68.75,1.8842,1.9193
5/26/2010,71.51,1.9324,1.9648
5/27/2010,74.55,2.0097,2.0354
5/28/2010,73.97,2.0045,2.0266
6/1/2010,72.58,1.9704,1.9825
6/2/2010,72.86,2.0059,2.0261
6/3/2010,74.61,2.0391,2.0812
6/4/2010,71.51,1.9577,1.9953
6/7/2010,71.44,1.9683,1.9949
6/8/2010,71.99,1.9653,1.9891
6/9/2010,74.38,2.0096,2.0397
6/10/2010,75.48,2.0328,2.0705
6/11/2010,73.78,2.0053,2.0497
6/14/2010,75.12,2.0259,2.0764
6/15/2010,76.94,2.0685,2.1215
6/16/2010,77.67,2.1101,2.1452
6/17/2010,76.79,2.1474,2.164
6/18/2010,78.26,2.1289,2.1476
6/21/2010,78.61,2.1459,2.1428
6/22/2010,77.85,2.1307,2.1262
6/23/2010,76.35,2.0865,2.0774
6/24/2010,76.51,2.0783,2.0883
6/25/2010,78.86,2.1334,2.1588
6/28/2010,78.25,2.1171,2.1302
6/29/2010,75.94,2.0498,2.0651
6/30/2010,75.63,2.0143,2.0604
7/1/2010,72.95,1.9385,1.9976
7/2/2010,72.14,1.9155,1.9777
7/6/2010,71.98,1.9172,1.9713
7/7/2010,74.07,1.9787,2.0253
7/8/2010,75.44,2.0053,2.0511
7/9/2010,76.09,2.0257,2.07
7/12/2010,74.95,1.9913,2.028
7/13/2010,77.15,2.0474,2.0821
7/14/2010,77.04,2.0361,2.0665
7/15/2010,76.62,2.0183,2.0607
7/16/2010,76.01,2.0113,2.0486
7/19/2010,76.9,2.017,2.059
7/20/2010,77.58,2.0247,2.0786
7/21/2010,76.56,2.0163,2.0649
7/22/2010,79.3,2.0895,2.1409
7/23/2010,78.98,2.0786,2.1192
7/26/2010,78.98,2.0711,2.1064
7/27/2010,77.5,2.0294,2.0641
7/28/2010,76.99,2.026,2.0647
7/29/2010,78.36,2.0696,2.101
7/30/2010,78.95,2.0881,2.1224
8/2/2010,81.34,2.1538,2.1685
8/3/2010,82.55,2.2,2.1935
8/4/2010,82.47,2.2022,2.175
8/5/2010,82.01,2.1868,2.1644
8/6/2010,80.7,2.1472,2.1127
8/9/2010,81.48,2.1538,2.1187
8/10/2010,80.25,2.1254,2.0853
8/11/2010,78.02,2.0752,1.9976
8/12/2010,75.74,2.0015,1.9548
8/13/2010,75.39,1.9956,1.9396
8/16/2010,75.24,1.9888,1.9243
8/17/2010,75.77,2.0259,1.9532
8/18/2010,75.78,2.0249,1.9612
8/19/2010,74.77,2.0007,1.9287
8/20/2010,73.82,1.971,1.8675
8/23/2010,73.1,1.9765,1.839
8/24/2010,71.63,1.9537,1.8093
8/25/2010,72.52,1.9856,1.8254
8/26/2010,73.36,2.0236,1.8686
8/27/2010,75.17,2.0575,1.9148
8/30/2010,74.7,2.0377,1.9078
8/31/2010,71.92,1.9917,1.8574
9/1/2010,73.91,2.0411,1.8891
9/2/2010,75.02,2.0623,1.9216
9/3/2010,74.6,2.0573,1.9195
9/7/2010,74.09,2.0743,1.9329
9/9/2010,74.25,2.0684,1.9354
9/10/2010,76.45,2.1044,1.9731
9/13/2010,77.19,2.1227,1.9806
9/14/2010,76.8,2.1288,1.969
9/15/2010,76.02,2.1326,1.9625
9/16/2010,74.57,2.099,1.9247
9/17/2010,74.92,2.0992,1.9192
9/20/2010,76.19,2.1394,1.9496
9/21/2010,74.97,2.1362,1.9196
9/22/2010,74.71,2.125,1.9013
9/23/2010,75.18,2.1335,1.9129
9/24/2010,76.49,2.1499,1.9404
9/27/2010,76.52,2.1394,1.9391
9/29/2010,77.86,2.2113,1.9829
9/30/2010,79.97,2.2678,2.0361
10/1/2010,81.58,2.2938,2.0861
10/4/2010,81.47,2.2847,2.0933
10/5/2010,82.82,2.3026,2.1255
10/6/2010,83.23,2.3078,2.1559
10/7/2010,81.67,2.2518,2.118
10/8/2010,82.66,2.2819,2.1512
10/11/2010,82.21,2.279,2.1655
10/12/2010,81.67,2.2625,2.1239
10/13/2010,83.01,2.3007,2.1661
10/14/2010,82.69,2.2839,2.1365
10/15/2010,81.25,2.2308,2.1038
10/18/2010,83.8,2.2761,2.1515
10/19/2010,80.16,2.1893,2.0483
10/20/2010,82.54,2.2548,2.0729
10/21/2010,80.56,2.233,2.03
10/22/2010,81.69,2.2691,2.054
10/25/2010,82.52,2.2741,2.0673
10/26/2010,82.55,2.2684,2.0772
10/27/2010,81.94,2.2562,2.0754
10/28/2010,82.18,2.2594,2.0828
10/29/2010,81.43,2.2377,2.0594
