symbol,timestamp,tradingDay,open,high,low,close,volume
"ZCn10","2010-06-30T00:15:00-05:00","2010-06-30","328.25","328.25","328.25","328.25","1"
"ZCn10","2010-06-30T00:30:00-05:00","2010-06-30","328.5","328.5","328.5","328.5","2"
"ZCn10","2010-06-30T00:45:00-05:00","2010-06-30","328","328.75","328","328.5","10"
"ZCn10","2010-06-30T01:00:00-05:00","2010-06-30","328","328","328","328","1"
"ZCn10","2010-06-30T01:15:00-05:00","2010-06-30","328.25","328.25","328.25","328.25","1"
"ZCn10","2010-06-30T01:30:00-05:00","2010-06-30","328","328","328","328","20"
"ZCn10","2010-06-30T01:45:00-05:00","2010-06-30","328","328","328","328","2"
"ZCn10","2010-06-30T02:00:00-05:00","2010-06-30","328.25","328.25","327.75","327.75","5"
"ZCn10","2010-06-30T02:15:00-05:00","2010-06-30","327.75","328","327.75","328","32"
"ZCn10","2010-06-30T02:30:00-05:00","2010-06-30","328.25","328.25","327.5","327.5","3"
"ZCn10","2010-06-30T02:45:00-05:00","2010-06-30","328.25","328.25","328","328","5"
"ZCn10","2010-06-30T03:00:00-05:00","2010-06-30","328","328","328","328","1"
"ZCn10","2010-06-30T03:15:00-05:00","2010-06-30","328.25","328.25","328","328","10"
"ZCn10","2010-06-30T03:30:00-05:00","2010-06-30","328","328","328","328","2"
"ZCn10","2010-06-30T03:45:00-05:00","2010-06-30","328","328.25","328","328.25","5"
"ZCn10","2010-06-30T04:15:00-05:00","2010-06-30","328.5","328.75","328.5","328.75","6"
"ZCn10","2010-06-30T04:30:00-05:00","2010-06-30","329","329","329","329","11"
"ZCn10","2010-06-30T04:45:00-05:00","2010-06-30","329","329","329","329","4"
"ZCn10","2010-06-30T05:00:00-05:00","2010-06-30","328.25","329","328.25","329","56"
"ZCn10","2010-06-30T05:15:00-05:00","2010-06-30","329","329","329","329","13"
"ZCn10","2010-06-30T05:30:00-05:00","2010-06-30","329.5","330","328","328","31"
"ZCn10","2010-06-30T05:45:00-05:00","2010-06-30","328","328","327.5","327.5","17"
"ZCn10","2010-06-30T06:00:00-05:00","2010-06-30","327.75","329.25","327.75","329.25","22"
"ZCn10","2010-06-30T06:15:00-05:00","2010-06-30","329.25","330","329.25","330","9"
"ZCn10","2010-06-30T06:30:00-05:00","2010-06-30","330","330.5","329.75","329.75","21"
"ZCn10","2010-06-30T06:45:00-05:00","2010-06-30","329.75","330.5","329.75","330","68"
