symbol,timestamp,tradingDay,open,high,low,close,volume
"ZCz10","2010-06-30T00:00:00-05:00","2010-06-30","347.5","347.5","347","347","28"
"ZCz10","2010-06-30T00:15:00-05:00","2010-06-30","347","347","347","347","13"
"ZCz10","2010-06-30T00:30:00-05:00","2010-06-30","347","347","346.5","347","11"
"ZCz10","2010-06-30T00:45:00-05:00","2010-06-30","347","347.25","346.5","347","97"
"ZCz10","2010-06-30T01:00:00-05:00","2010-06-30","346.75","346.75","346.25","346.5","45"
"ZCz10","2010-06-30T01:15:00-05:00","2010-06-30","346.5","347","346.5","347","20"
"ZCz10","2010-06-30T01:30:00-05:00","2010-06-30","347","347","346.5","346.5","76"
"ZCz10","2010-06-30T01:45:00-05:00","2010-06-30","346.5","346.75","346.5","346.5","78"
"ZCz10","2010-06-30T02:00:00-05:00","2010-06-30","346.75","346.75","346.25","346.5","186"
"ZCz10","2010-06-30T02:15:00-05:00","2010-06-30","346.5","346.75","346.25","346.5","56"
"ZCz10","2010-06-30T02:30:00-05:00","2010-06-30","346.5","346.75","346.25","346.5","67"
"ZCz10","2010-06-30T02:45:00-05:00","2010-06-30","346.5","346.75","346.25","346.5","86"
"ZCz10","2010-06-30T03:00:00-05:00","2010-06-30","346.75","346.75","346.75","346.75","20"
"ZCz10","2010-06-30T03:15:00-05:00","2010-06-30","346.75","346.75","346.5","346.5","88"
"ZCz10","2010-06-30T03:30:00-05:00","2010-06-30","346.75","346.75","346.75","346.75","27"
"ZCz10","2010-06-30T03:45:00-05:00","2010-06-30","346.75","347","346.5","347","216"
"ZCz10","2010-06-30T04:00:00-05:00","2010-06-30","347","347","346.75","347","100"
"ZCz10","2010-06-30T04:15:00-05:00","2010-06-30","347","347.5","347","347.5","662"
"ZCz10","2010-06-30T04:30:00-05:00","2010-06-30","347.5","347.75","347.25","347.5","124"
"ZCz10","2010-06-30T04:45:00-05:00","2010-06-30","347.5","347.5","347","347","68"
"ZCz10","2010-06-30T05:00:00-05:00","2010-06-30","347","347.75","346.75","347.75","276"
"ZCz10","2010-06-30T05:15:00-05:00","2010-06-30","347.75","348.25","347.75","347.75","244"
"ZCz10","2010-06-30T05:30:00-05:00","2010-06-30","347.75","348.25","346","346.75","468"
"ZCz10","2010-06-30T05:45:00-05:00","2010-06-30","347","347","345.75","346","137"
"ZCz10","2010-06-30T06:00:00-05:00","2010-06-30","346","347.25","346","347.25","33"
"ZCz10","2010-06-30T06:15:00-05:00","2010-06-30","347","348","347","348","143"
