"","Year","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","CORN - CONDITION, MEASURED IN PCT EXCELLENT","CORN - CONDITION, MEASURED IN PCT FAIR","CORN - CONDITION, MEASURED IN PCT GOOD","CORN - CONDITION, MEASURED IN PCT POOR","CORN - CONDITION, MEASURED IN PCT VERY POOR"
"1",2020,172,17,21,55,5,2
"2",2019,167.5,11,30,47,9,3
"3",2018,176.4,22,19,50,6,3
"4",2017,176.6,13,26,48,9,4
"5",2016,174.6,20,18,56,5,1
"6",2015,168.4,17,21,53,7,2
"7",2014,171,22,19,53,5,1
"8",2013,158.1,17,26,46,8,3
"9",2012,123.1,3,28,21,25,23
"10",2011,146.8,16,24,46,9,5
"11",2010,152.6,24,19,47,7,3
"12",2009,164.4,18,22,52,6,2
"13",2008,153.3,17,24,49,7,3
"14",2007,150.7,16,26,42,11,5
"15",2006,149.1,15,26,41,11,7
"16",2005,147.9,14,27,39,13,7
"17",2004,160.3,25,17,52,5,1
"18",2003,142.2,21,21,48,7,3
"19",2002,129.3,7,31,35,17,10
"20",2001,138.2,15,26,49,8,2
"21",2000,136.9,24,19,50,5,2
"22",1999,133.8,17,25,46,9,3
"23",1998,134.4,19,22,49,7,3
"24",1997,126.7,17,24,51,6,2
"25",1996,127.1,14,28,47,8,3
"26",1995,113.5,13,30,48,7,2
"27",1994,138.6,29,12,56,2,1
"28",1993,100.7,9,31,44,13,3
"29",1992,131.5,19,20,57,3,1
"30",1991,108.6,10,34,43,10,3
"31",1990,118.5,13,21,62,3,1
"32",1989,116.3,15,23,56,5,1
"33",1988,84.6,3,33,16,33,15
"34",1987,119.8,27,16,53,3,1
"35",1986,119.4,38,10,48,3,1
"36",1985,118,NA,NA,NA,NA,NA
"37",1984,106.7,NA,NA,NA,NA,NA
"38",1983,81.1,NA,NA,NA,NA,NA
"39",1982,113.2,NA,NA,NA,NA,NA
"40",1981,108.9,NA,NA,NA,NA,NA
"41",1980,91,NA,NA,NA,NA,NA
